"Sample","Conditions","Biological_Replicates","GrowthFactor"
"MS51-01","blank",1,NA
"MS51-02","blank",2,NA
"MS51-03","blank",3,NA
"MS51-04","blank",4,NA
"MS51-05","blank",5,NA
"MS51-06","HK2",1,249.2817226
"MS51-07","HK2",2,249.2817226
"MS51-08","HK2",3,249.2817226
"MS51-09","HK2",4,249.2817226
"MS51-10","HK2",5,249.2817226
"MS51-11","786-O",1,297.3423432
"MS51-12","786-O",2,297.3423432
"MS51-13","786-O",3,297.3423432
"MS51-14","786-O",4,297.3423432
"MS51-15","786-O",5,297.3423432
"MS51-16","786-M1A",1,304.858701
"MS51-17","786-M1A",2,304.858701
"MS51-18","786-M1A",3,304.858701
"MS51-19","786-M1A",4,304.858701
"MS51-20","786-M1A",5,304.858701
"MS51-21","786-M2A",1,369.2863745
"MS51-23","786-M2A",2,369.2863745
"MS51-24","786-M2A",3,369.2863745
"MS51-25","786-M2A",4,369.2863745
"MS51-26","OSRC2",1,229.3156319
"MS51-27","OSRC2",2,229.3156319
"MS51-28","OSRC2",3,229.3156319
"MS51-29","OSRC2",4,229.3156319
"MS51-30","OSRC2",5,229.3156319
"MS51-31","OSLM1B",1,238.0439107
"MS51-32","OSLM1B",2,238.0439107
"MS51-33","OSLM1B",3,238.0439107
"MS51-34","OSLM1B",4,238.0439107
"MS51-35","OSLM1B",5,238.0439107
"MS51-36","RFX631",1,255.3658104
"MS51-37","RFX631",2,255.3658104
"MS51-38","RFX631",3,255.3658104
"MS51-39","RFX631",4,255.3658104
"MS51-40","RFX631",5,255.3658104
"POOL2","Pool",1,NA
"POOL3","Pool",2,NA
"POOL4","Pool",3,NA
"POOL5","Pool",4,NA
"POOL6","Pool",5,NA
