GCA_003018335.1_genomic.fna.gz database/GCA/003/018/335/
GCF_000026225.1_genomic.fna.gz database/GCF/000/026/225/
GCF_000026325.1_genomic.fna.gz database/GCF/000/026/325/
GCF_000208585.1_genomic.fna.gz database/GCF/000/208/585/
GCF_000759775.1_genomic.fna.gz database/GCF/000/759/775/
GCF_001660175.1_genomic.fna.gz database/GCF/001/660/175/
GCF_002900365.1_genomic.fna.gz database/GCF/002/900/365/
GCF_002949675.1_genomic.fna.gz database/GCF/002/949/675/
GCF_002950215.1_genomic.fna.gz database/GCF/002/950/215/
GCF_002965065.1_genomic.fna.gz database/GCF/002/965/065/
GCF_003697165.2_genomic.fna.gz database/GCF/003/697/165/
GCF_004211955.1_genomic.fna.gz database/GCF/004/211/955/
GCF_005843885.1_genomic.fna.gz database/GCF/005/843/885/
GCF_011881725.1_genomic.fna.gz database/GCF/011/881/725/
