Majority protein IDs	sample 5	sample 6	sample 7	sample 8	sample 9	sample 10	sample 11	sample 12	sample 13	sample 15	sample 16	sample 17	sample 18	sample 19	sample 20
A0A087WNL7;A0A087WQ44;A0A087WNX7	27.912	27.672	27.178	27.033	27.721	27.477	26.236	27.211	28.054	27.564	27.425	28.275	28.158	27.534	27.802
A0A0A6YXN4;A0A075B5U4	26.332	24.533	NA	NA	NA	NA	NA	24.206	26.184	24.506	NA	26.219	26.086	24.644	25.694
A0A0A6YY64;A2AUP3;A2AUP5;A2AUP1;Q7TS91;A2AUP4;A7UAK8;Q3U3S6;A7UAK5;A7UAK4;A0A0A6YW89	28.184	27.515	27.793	27.238	27.965	27.532	27.706	27.092	27.972	27.55	26.997	27.823	27.13	27.686	27.027
A0A0B4J1E6;P08101;A0A0B4J1G1;P08101-2	27.155	27.136	27.586	27.9	27.365	27.626	27.594	27.961	27.637	27.918	27.859	27.672	27.897	27.91	28.215
A0A0G2JDV3	27.582	27.884	28.703	27.908	27.894	28.021	28.401	28.543	28.257	28.775	28.46	27.542	28.011	28.63	28.211
A0A0G2JEH3;B2RVB9	NA	25.905	26.344	26.809	25.842	25.719	26.507	26.395	25.887	27.09	26.992	25.797	26.337	NA	NA
A0A0G2JEL8;A0A0G2JG13;E9Q4F2;A0A0G2JGN5	NA	NA	NA	21.926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0G2JFZ4;E9Q7M2	NA	23.687	23.432	NA	NA	NA	NA	NA	NA	23.858	24.084	NA	NA	23.256	23.81
E9PVP1;A0A0G2JG52	24.95	24.832	NA	24.479	24.778	24.715	NA	24.459	25.061	NA	24.665	25.104	25.367	NA	24.963
A0A0J9YUD5;B9EJ54	30.675	30.488	30.202	30.112	30.596	30.504	30.428	30.095	30.557	30.45	30.103	30.523	30.482	30.401	30.125
A0A0R4J094;Q3TC72	26.479	26.438	27.209	26.418	26.648	25.943	27.012	26.304	26.52	27.322	26.42	26.804	26.703	27.42	26.656
A0A0U1RPG8;A0A0U1RNG7;Q5EER8	NA	23.636	NA	24.441	NA	NA	NA	24.98	NA	NA	26.358	NA	23.381	NA	25.275
A0A140LHY5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.719	NA	NA
A0A140LIJ4	NA	27.298	27.12	27.835	NA	27.791	27.485	27.721	NA	NA	NA	NA	NA	NA	NA
A0A140LIW3	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.009	25.001	NA	NA	NA	NA
A0A1L1SSC7;A0A338P6N2;D3YVV0;Q3UMK4;E9Q723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.309
A0A1L1SUI3;Q9D1F9	NA	NA	24.134	NA	NA	NA	NA	NA	NA	NA	NA	24.217	23.891	NA	NA
A0A1W2P7G5;A0A1W2P7J1;E9Q3H6	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.227	NA	NA	NA	NA	NA
A0A1W2P7J4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.995	NA	NA	NA
A0A1W2P872;D3YVV7	NA	29.946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1W2P8A5;A0A1W2P8G5	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.153	NA	NA	NA	NA	NA
A0A1Y7VMH7;A0A1Y7VME9;E9Q9B7;A0A1Y7VNF8	24.89	24.472	NA	23.865	NA	23.778	NA	NA	24.737	NA	23.77	24.41	NA	23.781	23.661
A0A1Y7VNZ0;Q99LF7;A0A1Y7VIR8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.12
A0A1Y7VP50;Q3UH45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.252
A0A286YCV9;E9Q4K7	26.268	25.713	25.442	25.205	26.157	25.842	23.748	24.425	26.729	25.727	25.722	26.705	26.701	25.786	25.94
A0A286YCX6;E9PY51	27.492	28.025	28.193	28.023	27.664	28.023	28.108	28.391	27.692	28.152	28.24	27.641	28.027	28.058	28.298
A0A2I3BQU5	NA	NA	NA	NA	26.304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A2I3BR81;Q91X76;A0A2I3BQR1;A0A2I3BRL0	24.586	NA	NA	NA	25.405	23.992	NA	NA	25.606	NA	NA	25.35	24	NA	NA
A0A2R8W6R9;A0A2R8VI80;Q9JIZ5	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.059	NA	NA	NA	NA	NA
A2A716;A0A3Q4EGW0;F8VQM4	25.859	26.367	27.017	26.496	25.658	26.319	26.533	26.542	24.61	26.815	26.475	26.142	26.712	26.834	27.011
A0A494B9V8	24.321	23.828	NA	NA	NA	NA	NA	NA	24.36	24.189	23.712	24.724	24.053	23.991	23.776
A1A5B6	NA	23.917	NA	23.72	NA	NA	NA	NA	23.752	23.558	23.653	23.183	23.439	23.61	23.883
A1KXC4	24.112	25.565	24.715	26.439	NA	25.187	24.491	25.189	NA	25.111	26.534	25.024	26.029	25.324	26.847
A1L314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.46	NA
A1L3P4;B0QZV3;A0A140LJ55	24.332	24.161	NA	NA	NA	NA	23.896	NA	24.215	24.326	24.374	23.808	24.223	23.904	24.604
A2A3V1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.127	NA	NA	NA
A2A432;A2A432-2	29.538	29.449	29.306	29.311	29.509	29.37	29.295	29.323	29.471	29.29	29.346	29.442	29.468	29.237	29.448
A2A484;A2A482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.827
A2A4P0	29.227	29.291	28.92	29.237	29.143	29.151	28.792	29.136	29.001	29.044	29.161	29.193	29.299	28.838	29.342
A2A5K6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.861	23.778	24.304	NA	23.798
A2A5R2	29.261	29.291	29.468	29.275	29.233	29.189	29.278	29.335	29.229	29.182	29.302	29.178	29.145	29.247	29.185
A2A655;A2A654	29.264	29.189	28.625	29.16	29.093	29.109	28.603	29.154	29.102	28.834	28.958	29.142	29.269	28.9	29.34
