ENSP00000354687	YP_003024026	P03886	ENST00000361390
ENSP00000355046	YP_003024027	P03891	ENST00000361453
ENSP00000354499	YP_003024028	P00395	ENST00000361624
ENSP00000354876	YP_003024029	P00403	ENST00000361739
ENSP00000355265	YP_003024030	P03928	ENST00000361851
ENSP00000354632	YP_003024031	P00846	ENST00000361899
ENSP00000354982	YP_003024032	P00414	ENST00000362079
ENSP00000355206	YP_003024033	P03897	ENST00000361227
ENSP00000354728	YP_003024034	P03901	ENST00000361335
ENSP00000354961	YP_003024035	P03905	ENST00000361381
ENSP00000354813	YP_003024036	P03915	ENST00000361567
ENSP00000354665	YP_003024037	P03923	ENST00000361681
ENSP00000354554	YP_003024038	P00156	ENST00000361789
ENSP00000484918			ENST00000618686
ENSP00000484923			ENST00000614336
ENSP00000481127			ENST00000621424
ENSP00000478665	NP_001393481		ENST00000612640
ENSP00000482462			ENST00000615165
ENSP00000482514			ENST00000613204
ENSP00000481613			ENST00000617983
ENSP00000479139	NP_001244291		ENST00000616049
ENSP00000477677			ENST00000616157
ENSP00000484596			ENST00000612465
ENSP00000480106			ENST00000612565
ENSP00000473163		P0DMU3	ENST00000601199
ENSP00000478882			ENST00000612315
ENSP00000478289		P0DP08	ENST00000618003
ENSP00000481152			ENST00000619729
ENSP00000483280		Q8WZ33	ENST00000613230
ENSP00000478910			ENST00000400754
ENSP00000478035			ENST00000612848
ENSP00000479378	NP_001355166		ENST00000616638
ENSP00000480079			ENST00000613216
ENSP00000479921			ENST00000612919
ENSP00000482251			ENST00000611339
ENSP00000482038	NP_001355160		ENST00000621028
ENSP00000478725			ENST00000611746
ENSP00000484693			ENST00000619792
ENSP00000493835	NP_036366	Q8N488	ENST00000643872
ENSP00000486012		Q8N488	ENST00000628983
ENSP00000500107			ENST00000672485
ENSP00000500297	NP_000151	P47871	ENST00000671794
ENSP00000499809			ENST00000671708
ENSP00000516837	NP_001088	P10323	ENST00000707314
ENSP00000516838			ENST00000707315
ENSP00000516830	NP_075568	Q9H7E9	ENST00000707298
ENSP00000518224	NP_001358973		ENST00000710353
ENSP00000516831			ENST00000707302
ENSP00000516832			ENST00000707303
ENSP00000516833			ENST00000707304
ENSP00000516834			ENST00000707305
ENSP00000488512	NP_001139816	O60813	ENST00000633392
ENSP00000500493	NP_997251	C9JLW8	ENST00000672201
ENSP00000488130	NP_001013653	O60812	ENST00000634171
ENSP00000487743	NP_075390	O60811	ENST00000632257
ENSP00000500564			ENST00000672505
ENSP00000488161	NP_001009611	O60810	ENST00000632563
ENSP00000500382		C9JLW8	ENST00000673154
ENSP00000500166	NP_001275727		ENST00000671931
ENSP00000500656	NP_001087236	C9JLW8	ENST00000673369
ENSP00000488485	NP_001034450	O60809	ENST00000632873
ENSP00000500318	NP_001275728		ENST00000672991
ENSP00000499966		C9JLW8	ENST00000672501
ENSP00000347211	NP_001012277	Q5VXH5	ENST00000355096
ENSP00000500936			ENST00000672633
ENSP00000500358			ENST00000673585
ENSP00000488446		Q5VXH5	ENST00000633146
ENSP00000499975			ENST00000671977
ENSP00000500711			ENST00000673364
ENSP00000500294	NP_001007534	Q86WC6	ENST00000672496
ENSP00000488780		Q5VXH4	ENST00000632388
ENSP00000500495			ENST00000672511
ENSP00000487731	NP_001010889	Q5VXH4	ENST00000632295
ENSP00000488085	NP_001287820	A3QJZ7	ENST00000631964
ENSP00000488124	NP_001369287	B7ZW38	ENST00000633863
ENSP00000488003		A6NGN4	ENST00000632559
ENSP00000488324	NP_001297063	A6NGN4	ENST00000634012
ENSP00000488742	NP_001130033	B2RXH8	ENST00000633810
ENSP00000516835	NP_001291288	P98088	ENST00000707307
ENSP00000518846	NP_002448		ENST00000713550
ENSP00000488002	NP_001293001	H0Y7S4	ENST00000633532
ENSP00000488276	NP_001289480	P0DMR1	ENST00000633805
ENSP00000488044	NP_001010890		ENST00000633914
ENSP00000492522	NP_001278309	Q5VWM6	ENST00000632392
ENSP00000491482			ENST00000639526
ENSP00000488059	NP_001093320	Q5VWM3	ENST00000632307
