	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12
S01	8.30471707975443	9.039984106240496	8.750451195806457	8.940564716391213	1.9510351886538364	1.302179506862318	0.12784040316728537	0.3162425923435822	0.016801157504288795	0.85304392757358	0.8793979748628286	0.7777919354289483
S02	8.066030697561215	9.127241206968034	8.467509342252045	8.859292462883237	0.36875078408249884	0.9588826008289989	0.8784503013072725	0.049925910986252896	0.18486236354526056	0.6809295444039414	1.2225413386740303	0.15452948206880215
S03	8.428327822163107	8.35213355048823	8.532309185553348	8.365444064364079	0.4127326115959884	0.43082100300788273	2.1416476008704612	0.4064150163846156	0.5122427290715373	0.8137727282478777	0.6159794225754956	1.1289722927208916
S04	8.113947457654875	8.840156476962528	8.82448121569124	8.650592787824701	0.7432541712034423	0.543154268305195	0.6655097072886943	0.23216132306671977	0.11668580914072822	0.21868859672901295	0.8714287779481898	0.22359554877468227
S05	8.678913563071895	8.067579069488891	8.289119398689984	8.63128822583854	1.4571558198556664	0.31967121635730134	0.4703726542927955	0.6388778482433419	0.27514225122668373	1.4949413112343959	0.8658311156932432	0.9682783545914808
S06	9.682869771615804	8.334885029985776	8.162753065105006	8.586222331359279	0.711226579792855	0.7933472351999252	0.3487250722484376	0.46235179266456716	0.8579758812571538	0.1913043248816149	1.2756863233379219	1.1332872140034806
S07	8.919452286001611	8.497160744053764	8.142425736070566	8.690485354067768	0.42725264633653426	0.15853969107671423	0.6255903939673367	0.3093465397202384	0.45677523755741145	0.6619259410666513	0.3630538465650718	0.3817378939983291
S08	9.19583964558904	8.486972480785582	8.469402340202723	8.012494118727687	0.48074665890590895	0.4465311760299441	0.6653851089727862	0.09848548450942361	0.42329831204415375	0.07971821090639905	1.6873344339580298	1.4471124724230873
S09	9.322699612354402	8.997246827601481	8.399774226723437	8.905479055360061	0.3781625540393897	1.2992282977860654	0.35626397106142593	0.7375155684670865	0.933617680009877	0.20543755786763002	0.9500220549105812	0.3390330759005625
S10	8.840308137457395	9.72732042319235	8.434423643545857	8.237735602332277	0.5941499556967944	1.4460578543884546	0.07212950771386951	0.5294927090638024	0.23267621135470395	0.02185214552344288	1.6017788913209154	0.23935562747302427
S11	9.023497492621864	8.179275634956316	8.219996683971765	9.359187575240437	0.8351112459145785	0.35687105914950934	1.4633028912195618	1.188763054322851	0.6397515327497477	0.9265759414055249	0.38980980315576796	1.3766861475563088
S12	8.635150946814404	8.222222697098774	9.470806294502658	9.015579081207541	0.3135138474501953	0.8381265678943811	1.9967308916917865	2.9138624660073296	0.4144094332759964	0.9895381200318641	2.132046280731309	0.2677114623438358
S13	0.812941095310326	0.41535726017968533	0.6120967990598081	0.14079088641638526	9.065980230787643	8.157048567445345	8.158634837038688	9.035653752825812	1.674682944704357	0.4863079090733309	0.05378255081832049	1.767929913579883
S14	0.13027452147288585	0.9827395110230576	0.49929559853915206	1.1849437664170246	8.965116762232372	8.725226064535754	10.128469732435164	8.821386679224386	0.838489203736345	0.9029271780870264	0.9315730128742441	0.38495096610586316
S15	0.1566378976580904	0.040762526135434025	0.6547876954293904	0.44607220148208054	8.45498348034078	9.225605763767248	9.277937574319619	8.172587917722119	1.579091256410435	0.15999161357343825	0.11863832610988256	0.2858261396025429
S16	1.3060017417068248	0.21938250136385634	0.41092723083373717	1.1062887100598888	8.428756438461614	9.535755991995991	8.183234437221905	9.224469031720501	1.368159199245665	1.6509279322312496	1.723665720783297	0.17951921328260065
S17	0.38318732113598775	1.4614442922422022	1.107045682043488	0.8947270189558264	8.643326794689045	8.39460512285959	8.00512186672007	8.163442898524513	0.33757454879893356	1.4074818613137168	0.09058490690174555	0.6439387932768579
S18	2.0501721010310225	0.04871840193011795	0.8432302702928711	1.218813060423628	8.87815236692875	8.334123440700813	8.915902542356013	9.326392717739564	0.030631492594417446	0.4841694333335785	0.32767309436196085	1.0027578253046041
S19	0.5381154370039261	1.3373981074427437	0.15450567924990047	0.695942611670703	8.2238588168805	8.242496791271222	8.17657335845371	9.084388072233367	0.09048978162787422	0.22822833013890514	2.5174740375339204	1.8768446112816701
S20	0.8532433505588201	0.2873833615491761	1.4634420018370031	0.5907070139634865	8.31560500359034	9.205853620888234	8.729083837743609	8.654146440067796	2.147289029738655	0.16266592054490767	1.062414411859563	0.5294394273660737
S21	0.8768607781675882	0.09426255425255699	1.7577283913566313	1.4670452453909906	10.129247112028299	9.287422581274031	9.09678557845464	9.836913528321315	2.905067169240407	1.1715666288253417	0.36824895678803055	0.34155555094050954
S22	1.7286976444055924	0.9868570784282374	0.24527784594210975	0.777337576061744	8.43476607446662	8.376156071230099	8.13382296451604	9.374895808369981	0.23817374397466523	0.2663874900089551	0.23216988962625595	0.555327218819016
S23	0.471538522545139	1.0127158178198286	0.15542932766846604	0.35175640839920347	8.053155347577867	8.000084393091415	8.721558033542847	8.316494261673308	0.09728659841348947	2.093168308930595	1.5733549024752425	0.3858465525565008
S24	0.7630572096947675	1.112411471983418	1.191142953088865	0.2627492251471385	8.480143403391612	9.744585986974192	8.92743848155818	8.454420338214362	1.110430684414478	0.47152480744994896	0.2637172043565196	0.05246679835624363
