chr21	5022692	5025008	+
chr21	5025048	5026279	+
chr21	5025048	5026431	+
chr21	5026629	5027934	+
chr21	5028224	5032052	+
chr21	5032216	5033407	+
chr21	5033442	5034581	+
chr21	5033442	5040584	+
chr21	5117230	5118690	-
chr21	5118846	5121710	-
chr21	5118846	5124755	-
chr21	5121802	5124755	-
chr21	5124874	5125878	-
chr21	5125991	5127897	-
chr21	5127949	5128213	-
chr21	5131454	5133425	-
chr21	5133499	5133654	-
chr21	5133804	5133901	-
chr21	5134119	5135088	-
chr21	5135153	5135934	-
chr21	5136042	5137326	-
chr21	5137473	5139697	-
chr21	5139877	5140952	-
chr21	5141102	5141276	-
chr21	5141423	5141558	-
chr21	5141706	5142531	-
chr21	5142667	5143221	-
chr21	5143291	5144090	-
chr21	5144233	5146136	-
chr21	5146365	5146657	-
chr21	5146792	5147288	-
chr21	5147431	5147778	-
chr21	5147877	5148209	-
chr21	5148303	5152960	-
chr21	5153072	5154622	-
chr21	6060498	6062523	+
chr21	6062590	6066866	+
chr21	6067048	6076003	+
chr21	6085144	6085760	-
chr21	6087092	6087344	-
chr21	6111251	6112069	+
chr21	6112238	6112738	+
chr21	6112854	6116223	+
chr21	6116286	6116461	+
chr21	6116622	6116893	+
chr21	6117017	6117127	+
chr21	6117250	6117803	+
chr21	6118026	6118255	+
chr21	6118401	6118782	+
chr21	6118907	6119023	+
chr21	6119239	6119719	+
chr21	6120000	6120486	+
chr21	6120717	6121143	+
chr21	6445324	6445539	-
chr21	6445660	6448480	-
chr21	6448564	6449822	-
chr21	6449930	6450511	-
chr21	6450645	6450903	-
chr21	6450980	6452118	-
chr21	6452223	6453988	-
chr21	6454072	6454630	-
chr21	6454755	6455577	-
chr21	6455668	6456880	-
chr21	6456949	6457064	-
chr21	6457198	6457293	-
chr21	6457372	6457920	-
chr21	6458054	6460186	-
chr21	6460292	6463662	-
chr21	6463878	6464943	-
chr21	6465018	6467447	-
chr21	6465018	6467902	-
chr21	6484915	6486137	-
chr21	6486229	6486321	-
chr21	6486454	6487106	-
chr21	6487204	6487362	-
chr21	6487411	6492130	-
chr21	6487411	6493043	-
chr21	6492196	6493043	-
chr21	6492196	6495992	-
chr21	6493109	6495992	-
chr21	6496079	6499128	-
chr21	6560970	6562200	+
chr21	6562322	6563754	+
chr21	7745037	7748898	+
chr21	7748986	7754951	+
chr21	7755117	7758104	+
chr21	8197926	8200737	+
chr21	8201051	8222960	+
chr21	8214634	8258858	+
chr21	8223056	8223184	+
chr21	8224184	8224346	+
chr21	8224437	8226173	+
chr21	8226390	8227179	+
chr21	8260267	8399067	+
chr21	8380971	8383783	+
chr21	8384097	8405959	+
chr21	8406055	8406183	+
chr21	8407183	8407345	+
chr21	8407436	8409172	+
chr21	8409389	8410178	+
chr21	9068658	9070213	-
chr21	9069598	9070213	-
chr21	9070443	9127488	-
chr21	9077713	9127488	-
chr21	9127546	9129682	-
chr21	9782303	9783247	-
chr21	9783304	9792554	-
chr21	9792641	9807734	-
chr21	9807973	9808173	-
chr21	9808360	9820885	-
chr21	10413732	10414809	+
chr21	10413753	10414810	+
chr21	10414910	10454133	+
chr21	10414913	10422703	+
chr21	10414913	10454132	+
chr21	10414914	10454132	+
chr21	10422714	10452639	+
chr21	10452730	10454133	+
chr21	10454295	10462835	+
chr21	10463006	10464861	+
chr21	10464975	10473027	+
chr21	10473728	10482739	+
