ensembl_gene_id	gene_biotype	external_gene_name	percentage_gene_gc_content
ENSG00000000003	protein_coding	TSPAN6	40.4
ENSG00000000005	protein_coding	TNMD	40.78
ENSG00000000419	protein_coding	DPM1	39.85
ENSG00000000457	protein_coding	SCYL3	40.14
ENSG00000000460	protein_coding	C1orf112	39.22
ENSG00000000938	protein_coding	FGR	52.92
ENSG00000000971	protein_coding	CFH	35.2
ENSG00000001036	protein_coding	FUCA2	39.72
ENSG00000001084	protein_coding	GCLC	40.16
ENSG00000001167	protein_coding	NFYA	40
ENSG00000001460	protein_coding	STPG1	44.09
ENSG00000001461	protein_coding	NIPAL3	44.99
ENSG00000001497	protein_coding	LAS1L	50.45
ENSG00000001561	protein_coding	ENPP4	36.05
ENSG00000001617	protein_coding	SEMA3F	57.74
ENSG00000001626	protein_coding	CFTR	36.59
ENSG00000001629	protein_coding	ANKIB1	36.83
ENSG00000001630	protein_coding	CYP51A1	38.25
ENSG00000001631	protein_coding	KRIT1	36.48
ENSG00000002016	protein_coding	RAD52	45.19
ENSG00000002079	transcribed_unitary_pseudogene	MYH16	49.89
ENSG00000002330	protein_coding	BAD	53.92
ENSG00000002549	protein_coding	LAP3	44.17
ENSG00000002586	protein_coding	CD99	47.38
ENSG00000002587	protein_coding	HS3ST1	43.92
ENSG00000002726	protein_coding	AOC1	47.8
ENSG00000002745	protein_coding	WNT16	38.61
ENSG00000002746	protein_coding	HECW1	42.03
ENSG00000002822	protein_coding	MAD1L1	55.65
ENSG00000002834	protein_coding	LASP1	53.69
ENSG00000002919	protein_coding	SNX11	48
ENSG00000002933	protein_coding	TMEM176A	57.55
ENSG00000003056	protein_coding	M6PR	42.37
ENSG00000003096	protein_coding	KLHL13	36.56
ENSG00000003137	protein_coding	CYP26B1	59.96
ENSG00000003147	protein_coding	ICA1	40.3
ENSG00000003249	protein_coding	DBNDD1	59.39
ENSG00000003393	protein_coding	ALS2	37.99
ENSG00000003400	protein_coding	CASP10	42.31
ENSG00000003402	protein_coding	CFLAR	44.35
ENSG00000003436	protein_coding	TFPI	36.6
ENSG00000003509	protein_coding	NDUFAF7	38.97
ENSG00000003756	protein_coding	RBM5	44.45
ENSG00000003987	protein_coding	MTMR7	40.26
ENSG00000003989	protein_coding	SLC7A2	40.13
ENSG00000004059	protein_coding	ARF5	56.14
ENSG00000004139	protein_coding	SARM1	51.55
ENSG00000004142	protein_coding	POLDIP2	49.87
ENSG00000004399	protein_coding	PLXND1	58.39
ENSG00000004455	protein_coding	AK2	46.32
ENSG00000004468	protein_coding	CD38	41.09
ENSG00000004478	protein_coding	FKBP4	51.53
ENSG00000004487	protein_coding	KDM1A	39.17
ENSG00000004534	protein_coding	RBM6	44.14
ENSG00000004660	protein_coding	CAMKK1	57.17
ENSG00000004700	protein_coding	RECQL	37.57
ENSG00000004766	protein_coding	VPS50	34.82
ENSG00000004776	protein_coding	HSPB6	62.52
ENSG00000004777	protein_coding	ARHGAP33	60.93
ENSG00000004779	protein_coding	NDUFAB1	48.72
ENSG00000004799	protein_coding	PDK4	36.08
ENSG00000004809	protein_coding	SLC22A16	41.33
ENSG00000004838	protein_coding	ZMYND10	58.49
ENSG00000004846	protein_coding	ABCB5	37.73
ENSG00000004848	protein_coding	ARX	54.62
ENSG00000004864	protein_coding	SLC25A13	39.76
ENSG00000004866	protein_coding	ST7	39.15
ENSG00000004897	protein_coding	CDC27	38.66
ENSG00000004939	protein_coding	SLC4A1	55.79
ENSG00000004948	protein_coding	CALCR	35.2
ENSG00000004961	protein_coding	HCCS	42.97
ENSG00000004975	protein_coding	DVL2	55.13
ENSG00000005001	protein_coding	PRSS22	59.35
ENSG00000005007	protein_coding	UPF1	55.16
ENSG00000005020	protein_coding	SKAP2	36.94
ENSG00000005022	protein_coding	SLC25A5	52.54
ENSG00000005059	protein_coding	MCUB	41.01
ENSG00000005073	protein_coding	HOXA11	55.22
ENSG00000005075	protein_coding	POLR2J	55.04
