sample,barcode
SAMPLE_01,1
SAMPLE_02,2
SAMPLE_03,3
SAMPLE_04,4
SAMPLE_05,5
SAMPLE_06,6
SAMPLE_07,13
SAMPLE_08,14
SAMPLE_09,15
SAMPLE_10,16
SAMPLE_11,17
SAMPLE_12,18
SAMPLE_13,25
SAMPLE_14,26
SAMPLE_15,27
SAMPLE_16,28
SAMPLE_17,29
SAMPLE_18,30
SAMPLE_19,37
SAMPLE_20,38
SAMPLE_21,39
SAMPLE_22,40
SAMPLE_23,41
SAMPLE_24,42
SAMPLE_25,49
SAMPLE_26,50
SAMPLE_27,51
SAMPLE_28,52
SAMPLE_29,53
SAMPLE_30,54
SAMPLE_31,61
SAMPLE_32,62
SAMPLE_33,63
SAMPLE_34,64
SAMPLE_35,65
SAMPLE_36,66
SAMPLE_37,73
SAMPLE_38,74
SAMPLE_39,75
SAMPLE_40,76
SAMPLE_41,77
SAMPLE_42,78
SAMPLE_43,85
SAMPLE_44,86
SAMPLE_45,87
SAMPLE_46,88
SAMPLE_47,89
SAMPLE_48,90
CONTROL_01,96
