source,target
WS3,Chloroflexi
WS3,GN04
Elusimicrobia,Chlorobi
Elusimicrobia,GOUTA4
Acidobacteria,Verrucomicrobia
Acidobacteria,Gemmatimonadetes
Parvarchaeota,OP11
Chloroflexi,Chlorobi
Chloroflexi,OP8
Chloroflexi,GOUTA4
KSB3,Caldithrix
KSB3,LCP-89
OP3,Crenarchaeota
OP3,OP8
OP3,NKB19
OP3,SC4
OP3,AC1
Chlorobi,WS4
Chlorobi,GOUTA4
Chlorobi,NC10
Caldithrix,GN04
Caldithrix,LCP-89
WS4,GOUTA4
OD1,OP11
Crenarchaeota,OP8
Crenarchaeota,NKB19
Crenarchaeota,SC4
Crenarchaeota,AC1
OP8,NKB19
OP8,SC4
OP8,AC1
GN04,MVS-104
GN04,GOUTA4
CD12,OP9
NKB19,SC4
NKB19,AC1
SC4,AC1
GOUTA4,NC10
OP1,NPL-UPA2
TA06,AC1
Aquificae,OctSpA1-106
BHI80-139,VHS-B3-43
