sgRNA,Gene,HL60.initial,KBM7.initial,HL60.final,KBM7.final
A1CF_m52595977,A1CF,213,274,883,175
A1CF_m52596017,A1CF,294,412,1554,1891
A1CF_m52596056,A1CF,421,368,566,759
A1CF_m52603842,A1CF,274,243,314,855
A1CF_m52603847,A1CF,0,50,145,266
A1CF_p52595870,A1CF,623,583,1503,1117
A1CF_p52595881,A1CF,486,378,1775,1585
A1CF_p52596023,A1CF,195,429,783,774
A1CF_p52601638,A1CF,744,459,1233,2407
A1CF_p52603829,A1CF,76,142,332,471
AAAS_m53714382,AAAS,704,671,799,1426
AAAS_m53715169,AAAS,651,627,797,1690
AAAS_m53715176,AAAS,545,89,392,664
AAAS_m53715212,AAAS,254,340,429,742
AAAS_m53715238,AAAS,32,135,421,77
AAAS_p53714367,AAAS,323,328,652,469
AAAS_p53714374,AAAS,293,261,856,968
AAAS_p53714391,AAAS,283,399,954,940
AAAS_p53714405,AAAS,1119,856,2212,2715
AAAS_p53714441,AAAS,273,327,1093,829
AAK1_m69870049,AAK1,364,465,693,2006
AAK1_m69870056,AAK1,635,707,2234,3515
AAK1_m69870103,AAK1,485,452,914,629
AAK1_m69870119,AAK1,405,275,806,837
AAK1_m69870125,AAK1,274,350,1822,2101
AAK1_m69870131,AAK1,754,763,1411,2637
AAK1_m69870137,AAK1,905,294,512,798
AAK1_p69870063,AAK1,330,167,364,1139
AAK1_p69870070,AAK1,991,718,1790,1682
AAK1_p69870105,AAK1,190,163,922,1118
AATF_m35306444,AATF,449,456,1396,1402
AATF_m35306475,AATF,493,612,1102,537
AATF_m35306482,AATF,569,726,743,311
AATF_m35306509,AATF,250,322,476,204
AATF_m35307516,AATF,353,356,995,540
AATF_m35307525,AATF,276,146,514,291
AATF_p35306410,AATF,1426,1104,2494,1101
AATF_p35306466,AATF,189,245,289,0
AATF_p35307505,AATF,677,269,1154,481
AATF_p35307527,AATF,1487,835,2761,3255
AATK_m79102275,AATK,621,435,4568,1109
AATK_m79102281,AATK,465,460,1736,2651
AATK_m79102298,AATK,726,798,2538,2676
AATK_m79102320,AATK,1003,655,1932,3223
AATK_m79102325,AATK,633,722,1874,2030
AATK_p79102286,AATK,1284,562,1844,1624
AATK_p79102311,AATK,73,184,843,281
AATK_p79104850,AATK,298,316,507,602
AATK_p79104858,AATK,284,346,905,852
