500.0	504.3
503.3	511.2
510.2	518.2
517.2	525.3
524.3	533.3
532.3	540.3
539.3	546.8
545.8	554.5
553.5	561.8
560.8	568.3
567.3	575.7
574.7	582.3
581.3	588.8
587.8	595.8
594.8	601.8
600.8	608.9
607.9	616.9
615.9	624.8
623.8	632.2
631.2	640.8
639.8	647.9
646.9	654.8
653.8	661.5
660.5	670.3
669.3	678.8
677.8	687.8
686.8	696.9
695.9	706.9
705.9	715.9
714.9	726.2
725.2	737.4
736.4	746.6
745.6	757.5
756.5	767.9
766.9	779.5
778.5	792.9
791.9	807
806	820
819	834.2
833.2	849.4
848.4	866
865	884.4
883.4	899.9
898.9	919
918	942.1
941.1	971.6
970.6	1000
