Unnamed: 0,transcript_id,cell_id,overlaps_nucleus,feature_name,x_location,y_location,z_location,qv,fov_name,nucleus_distance,codeword_index
0,281517926383617,UNASSIGNED,0,COMP,16.344997,30.472748,30.122965,40.0,S3,5.8653884,484
1,281517926383619,UNASSIGNED,0,RSPO3,18.07774,76.65664,27.215143,40.0,S3,5.4706974,475
2,281517926383628,UNASSIGNED,0,HLA-DRA,22.796055,153.83159,26.860939,40.0,S3,9.5615635,424
3,281517926383632,dilekigb-1,0,RSPO3,25.026413,55.922256,28.951385,15.540743,S3,0.7636505,475
4,281517926383633,dilhemok-1,1,HLA-DRA,26.4768,30.570494,26.723486,27.880842,S3,0.0,424
5,281517926383635,UNASSIGNED,0,HLA-DRA,26.691698,153.95851,28.123556,30.775465,S3,6.6134377,424
6,281517926383636,dimoifie-1,0,RSPO3,27.47414,137.98857,26.866405,40.0,S3,2.762132,475
7,281517926383639,dimnmpbf-1,0,ARHGAP24,27.74406,219.10454,27.65578,40.0,S3,1.9130346,145
8,281517926383641,dilfaamf-1,0,IGHG3,29.250332,61.251656,28.936003,40.0,S3,3.605051,416
9,281517926383644,UNASSIGNED,0,HLA-DRA,30.757818,157.02983,24.232819,40.0,S3,7.757147,424
10,281517926383663,dilepocg-1,1,SLC6A8,41.470516,75.06443,28.07749,15.205287,S3,0.0,126
11,281517926383667,UNASSIGNED,0,HLA-DRA,45.42434,67.996925,28.111982,40.0,S3,7.3788877,424
12,281517926383669,UNASSIGNED,0,HLA-DRA,46.93482,192.71915,23.224367,40.0,S3,23.80666,424
13,281517926383675,UNASSIGNED,0,C2orf88,54.170616,35.691093,27.632288,40.0,S3,9.316041,227
14,281517926383676,UNASSIGNED,0,SLC6A8,53.801178,208.23376,23.149702,40.0,S3,7.0633492,126
15,281517926383677,dimjbgib-1,1,ARHGAP24,56.62428,136.52412,28.060354,40.0,S3,0.0,145
16,281517926383681,odlpfgmk-1,1,HLA-DRA,60.28883,28.37035,25.903206,40.0,S3,0.0,424
17,281517926383682,dimjdifi-1,1,CHP2,59.812107,141.9176,25.766863,14.6712265,S3,0.0,174
