pipeline_param	minimized_file_path	original_size	minimized_size	notes
fasta	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/reference_sliced/minimal_reference.fasta	3.1 Gb (full genome)	226,852 B (222,577 bp real sequence)	Phase 3.5: genuinely sliced, local per-contig coordinates, original contig names kept
fai	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/reference_sliced/minimal_reference.fasta.fai	9,001 B	188 B	regenerated via samtools faidx (Phase 3.5)
sequence_dictionary	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/reference_sliced/minimal_reference.dict	2,970 B	1,115 B	regenerated via samtools dict (Phase 3.5)
bwamem2 index	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/reference_sliced/minimal_reference.fasta.{0123,amb,ann,bwt.2bit.64,pac}	16 GB (full genome index)	1.23 MB total	built via bwa-mem2 index (Phase 3.5); not a pipeline param, but required alongside fasta
input (samplesheet fastq paths)	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/fastq/<SAMPLE>/<region_id>_R1.fastq.gz + _R2.fastq.gz	n/a (full WGS FASTQ)	17 MB total, 27 file-pairs	9 regions x 3 samples; MT (01_chrM) downsampled to 150x, all other 8 regions unchanged; concatenate per-sample across all 9 region_id files before feeding the samplesheet if a single FASTQ pair per sample/lane is required; no coordinate dependency (pre-realignment reads)
target_bed	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/resources_remapped/beds/target_bed.remapped.bed	6.6 MB	1.28 KB (75 rows)	remapped to local coordinates, 0 rows dropped
sambamba_regions	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/resources_remapped/beds/sambamba_regions.remapped.bed	52 MB	7.0 KB (91 rows)	remapped to local coordinates, 0 rows dropped; column 4 (chrom-start-end-encoded name) refreshed to match new coordinates
manta_call_regions	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/resources_remapped/beds/manta_call_regions.remapped.bed.gz	4 KB	110 B (7 rows)	regenerated directly from the new fasta.fai (0..contig_length per contig, MT excluded) rather than remapped row-by-row -- confirmed to exactly match the sequence dictionary, the earlier Manta-crash risk is resolved
manta_call_regions_tbi	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/resources_remapped/beds/manta_call_regions.remapped.bed.gz.tbi	-	-	generated alongside
par_bed	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/resources_remapped/beds/GRCh38_PAR.remapped.bed	280 B	0 B (0 rows)	CONFIRMED empty is correct: none of our 9 blocks' real sequence overlaps a PAR interval (SOX3 sits between PAR1 and PAR2 on chrX), verified programmatically rather than assumed
