TAXID,SRR1175007,SRR042182,SRR061154,SRR061499,SRR063469,SRR062324,SRR1179037,SRR061236,SRR061456,SRR642021,ERR2402780,ERR1916139,ERR1915048,ERR1914553,ERR1913614,ERR1915578,ERR1915612,ERR2402795,ERR1914224,ERR1914439
0,3528337,11563613,10084261,20054993,8747525,12116517,4191329,13992760,14825759,11083673,2686505,1768605,1609594,1524650,1753510,1632138,1487228,2846802,3442424,1920081
6,0,78,0,127,0,79,0,0,0,172,0,0,0,0,0,0,0,0,0,0
7,0,78,0,127,0,79,0,0,0,172,0,0,0,0,0,0,0,0,0,0
9,0,129,0,153,0,151,0,165,96,0,0,76,114,58,71,58,69,0,51,72
10,0,160,0,193,0,99,0,55,249,238,0,53,58,75,117,58,61,0,202,66
11,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,241,0,81,0,57,0,59,187,168,0,55,0,0,0,0,0,0,0,0
14,0,119,0,0,0,0,0,0,57,149,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,110,302,252,387,141,385,118,237,260,145,0,58,0,0,116,123,58,0,94,0
19,69,0,0,0,0,0,85,124,159,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,105,473,308,1064,835,747,134,408,1463,310,318,224,340,456,203,162,325,334,460,215
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,171,72,246,61,153,0,187,129,68,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,65,0,78,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0
41,0,65,0,78,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0
42,0,101,0,120,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,101,0,120,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,67,0,0,0,0,60,0,0,0,0,114,212,0,0,0,463,178
47,0,56,0,65,0,0,0,60,0,0,132,0,0,0,0,0,0,120,0,0
48,0,56,0,65,0,0,0,60,0,0,132,0,0,0,0,0,0,120,0,0
50,0,77,0,117,0,57,0,63,0,83,0,0,0,0,0,0,0,0,0,0
52,0,77,0,117,0,57,0,63,0,83,0,0,0,0,0,0,0,0,0,0
56,0,153,80,251,86,155,0,73,115,101,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,87,252,200,404,125,218,127,245,97,0,0,0,0,0,50,54,0,0,0,0
69,0,73,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,120,99,203,133,174,52,80,52,111,0,0,0,0,0,55,0,0,67,0
81,0,117,0,140,0,74,0,86,348,0,0,0,0,0,0,0,0,0,88,0
85,0,166,66,167,0,141,0,0,63,109,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,129,0
