UniqueCount	AmbigCount
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	3
4	0
5	0
28	0
0	0
20	0
26	0
0	0
38	0
2	0
1	0
65	0
39	0
12	0
10	0
0	0
14	0
6	0
0	0
3	0
25	0
44	0
0	0
102	0
50	0
36	0
5	0
6321	2
0	0
0	0
1	0
47	0
388	0
0	0
6	0
6	0
7	0
13	0
0	0
15	0
8	0
139	0
4	0
2	0
5	1
123	1
0	0
21	0
46	0
244	0
27	0
78	0
2	0
0	0
83	0
0	0
60	0
0	0
0	0
104	0
6	0
17	0
10	0
230	0
17	0
10	0
5	0
3	0
44	0
0	0
4133	22
1	0
704	0
8	0
24	2
30	0
39	0
64	0
14	0
45	0
5	0
16795	115
6072	14
0	0
50	0
39	0
14	0
18	0
0	0
0	0
0	0
0	0
0	0
19	0
11	0
0	0
0	0
8	0
3	0
2	0
0	0
74	0
0	0
6	3
0	0
1	0
0	0
0	0
0	0
11	0
3	0
1	0
0	0
0	0
