gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
1500015O10RIK	21.8053881665428	-1.24444925774602	0.824982495603926	0.00333623013673689	0.0163724112651028
1700015E13RIK	12.2473099856542	-0.56112597700488	0.496012074249715	0.0615591545734448	0.161901877990202
1700019D03RIK	272.978045058801	1.87365946424857	0.337082246425187	1.1214725636075e-10	3.48763314965591e-09
1700025G04RIK	622.635664846119	-0.122017917088881	0.201762256370068	0.478954559523354	0.67096787392686
1700034H15RIK	8.28300765254958	0.540160400875865	0.509126036817763	0.0716963383569836	0.179096877341541
1700066M21RIK	79.4747036686108	0.471125999668648	0.245850497736213	0.0249852969373923	0.0792900749747859
2010300C02RIK	263.383809450585	0.715252777058681	0.195204440698446	7.9323955174295e-05	0.000690062938719042
2210411M09RIK	5.61571420328769	0.150878051816998	0.445810471807119	0.571982260809183	0.743127694981542
2310009B15RIK	25.5770463046779	0.406735817357779	0.331411691567508	0.108333722878694	0.246826284360981
2310035C23RIK	665.899783352614	-0.0358579682610776	0.157641386455053	0.796383792586776	0.878281416647118
2610012C04RIK	3.59911621969138	-0.866038982449077	0.953785761296284	0.0216850398604464	0.0723222240922127
2610203C22RIK	39.7843963195162	0.714942434592435	0.281794179006284	0.00268909940219815	0.0139384985680604
2700078F05RIK	17.1325959147657	0.0623717738837695	0.375714406233489	0.810291038407466	0.886545340174923
2810025M15RIK	43.2979130964967	-0.391436955318063	0.27097550349871	0.0784743190579051	0.192548427826497
2810408I11RIK	6.48533330751736	-1.4968187574603	1.0994328997426	0.00281102240681686	0.0144185558981114
2810414N06RIK	16.7960525047533	1.35482065759398	0.468818447868044	4.57742495350154e-05	0.0004186997530997
2810442N19RIK	4.43123502211415	-0.224642133024144	0.488639209083971	0.404266549212949	0.605912755687842
2810459M11RIK	82.328700353969	0.54379123833364	0.393923389452101	0.0516527539820573	0.141533096814271
3110009E18RIK	11.1694127388998	-0.0385690564271164	0.363005414884595	0.880653325377068	0.926063175628971
3110035E14RIK	9.03986700840111	0.220089544635872	0.454074411687806	0.416136777206243	0.619227453163357
3110045C21RIK	17.3328679097484	1.72837877091927	0.476507130305978	1.37659561981692e-06	1.99126157099099e-05
3110062G12RIK	5.13111932317728	-0.0643194529341832	0.440790214757377	0.80763591547607	0.884418203214992
3110079O15RIK	3.76940727299373	-0.252959041837775	0.685379323436466	0.304359377091546	0.500824160187677
4631405K08RIK	46.0469975052446	-1.06288504306246	0.340899789522644	8.28640875060669e-05	0.000710916723155498
4732440D04RIK	51.4013891306254	-0.415456778222012	0.263660808017067	0.0577681557586826	0.153554670435473
4833412K13RIK	13.7062801043349	-0.210699045744968	0.361233983471852	0.415779344907528	0.619227453163357
4930439A04RIK	5.10187777534532	-0.117194531736046	0.451003501469808	0.658576453759302	0.793096910432305
4930444A19RIK	11.0904002442781	0.0947578098670666	0.38945031618807	0.718177410204907	0.833407367812411
4930470B04RIK	6.37711973202433	-0.259542421122164	0.44562034641561	0.341964959555405	0.53848659454041
4930521E06RIK	8.3674141863872	0.185719588185644	0.44134888407554	0.489602200471438	0.678972289896298
4930523C07RIK	122.180518883479	-0.677620016437224	0.248449738303554	0.00188179999874619	0.0101780834714794
4930532G15RIK	4.10511613100697	-0.070876014125303	0.458681514705431	0.787484518758874	0.873890045794861
4930594C11RIK	9.45062732471339	-0.168506487516075	0.41808956900456	0.528560389303743	0.71067241893455
4930596I21RIK	12.6464816228735	0.0644361780877719	0.347577794785187	0.798809004829701	0.878641856561551
4933400F21RIK	48.8821075556387	-0.597272785980007	0.266242766428205	0.00842888391104027	0.0346057148030828
4933417C20RIK	4.39287824969563	-0.215049504896429	0.48396199467026	0.423818212387372	0.623203139728003
4933439K11RIK	19.8265084549956	0.107981102514793	0.291343268251662	0.638400729507408	0.77705997033723
5033417F24RIK	12.6484935045306	0.406819359490162	0.3580645735711	0.122501497346344	0.267824011773026
5730559C18RIK	43.4738837956331	0.286211275717895	0.297122474017611	0.221948374754147	0.404214831742031
6030442K20RIK	10.8687068400214	0.00319823012841678	0.385976635085868	0.99023304145967	0.994340432905025
6330403A02RIK	9.35738589675378	-0.368657211468749	0.502002978641102	0.192682550912916	0.365115538532
6720464F23RIK	22.9717875213635	-0.157996021972439	0.36705262862615	0.542395668893187	0.720106949949973
6820402A03RIK	67.2332956778937	0.588818367909762	0.274887259341616	0.0109259218474307	0.0427416565352321
8430432A02RIK	4.72807035665127	0.314363290700534	0.474094454000804	0.257564980256238	0.445627115570843
9430016H08RIK	99.9216066530008	0.237962054077663	0.212435820428694	0.187029016109098	0.357944763138028
9430034N14RIK	52.3707040629434	-0.0269619240349271	0.262809988053937	0.899728744788109	0.937533805748376
9430087J23RIK	6.43954439924603	-0.0816683566579706	0.427912227940576	0.757884722001713	0.85788318165858
9630010A21RIK	22.1719289460442	-0.168964119050834	0.345297174316714	0.504628045852279	0.691163986342834
9630028B13RIK	3.61840765128291	-0.156642834961125	0.483068419670951	0.55354508064821	0.72791763248031
A130010J15RIK	149.410427218467	1.2359160166772	0.24071397918929	4.13343104455947e-09	9.70186456496601e-08
A130048G24RIK	20.053223591438	-0.418353805852261	0.355291638247462	0.111459924475888	0.25118867037682
A130050O07RIK	53.1001116045962	0.0200349852664416	0.330117105849171	0.935281166474375	0.959280762185059
A130071D04RIK	29.3189250625895	-0.326272318038221	0.352040220767814	0.207643616336776	0.383816729157429
A330023F24RIK	110.281901536197	0.201562827377656	0.282964563701019	0.371815221171835	0.571740587314911
A430105J06RIK	5.99921464415541	0.121726965483482	0.435612383535507	0.647261935532574	0.784789325343589
A430106G13RIK	44.7525312229615	0.149062772987829	0.326824674240341	0.54493393788299	0.722705563674242
A430110L20RIK	19.4006025799928	-0.157815969900247	0.322205862495924	0.518530468227132	0.701143372254948
A630001G21RIK	22.9491867215585	-0.314139019562053	0.401520028887613	0.247107325592127	0.431743698085122
A630081D01RIK	6.00947885167244	0.0321047821208572	0.448606534906043	0.902873368571265	0.93832453676078
A830008E24RIK	56.0686969983369	3.47419922434448	0.452550264734936	9.52471670902061e-16	7.89916505734776e-14
A830018L16RIK	8.72749849785593	-0.276578213637426	0.489038794518021	0.312940961719504	0.511561834926495
A930005N03RIK	9.9643614308303	-0.0644205824623854	0.432770773590585	0.807566450995361	0.884418203214992
