CellID,X_centroid,Y_centroid,sampleid,phenotype
1,2434.209523809524,3.676190476190476,sample1,CD16/CD14
2,34.34068627450981,5.578431372549019,sample1,CD16/CD14
3,2480.209523809524,3.676190476190476,sample1,MDSC
7,2372.975113122172,7.764705882352941,sample1,CD16/CD14
8,2537.3306451612902,9.29516129032258,sample1,MDSC
9,1149.9670050761422,9.928934010152284,sample1,MDSC
10,1647.4878854625551,8.79625550660793,sample1,CD31+ endothelial
11,1833.961512027492,10.11958762886598,sample1,MDSC
12,259.988326848249,12.206225680933851,sample1,MDSC
14,1316.9415807560138,13.24742268041237,sample1,MDSC
15,1484.615789473684,10.673684210526316,sample1,MDSC
16,122.26179875333926,13.910952804986644,sample1,MDSC
17,302.8286219081272,13.832155477031804,sample1,MDSC
18,1756.3115942028985,14.557971014492754,sample1,MDSC
19,215.36677115987465,15.440438871473354,sample1,MDSC
20,1417.5495995070855,17.92852741836106,sample1,MDSC
21,2397.4311797752807,17.61938202247191,sample1,CD16/CD14
22,1095.859022556391,19.742011278195488,sample1,CD4+ Tcells
23,1380.687242798354,19.944444444444443,sample1,MDSC
24,1509.7177615571777,18.536496350364963,sample1,MDSC
25,2176.3251953125,20.07666015625,sample1,MDSC
26,553.5126719768284,27.28530050687907,sample1,MDSC
27,1980.5049151027704,28.75290437890974,sample1,MDSC
29,856.439471007121,30.33774160732452,sample1,MDSC
30,1903.2516556291391,36.63741721854305,sample1,CD16/CD14
31,4.555555555555555,37.0,sample1,MDSC
32,2223.0589668615985,38.66812865497076,sample1,MDSC
33,1616.4761904761904,40.648677248677245,sample1,MDSC
34,825.5212285456188,42.7289972899729,sample1,MDSC
35,1122.9330587023687,39.94232749742533,sample1,likely-Unclassified
36,254.1,45.2955223880597,sample1,MDSC
37,1871.026075619296,46.34680573663624,sample1,CD16/CD14
38,2386.63305978898,46.31535756154748,sample1,Treg
39,751.839699074074,47.145254629629626,sample1,MDSC
40,2411.435897435897,50.95022624434389,sample1,MDSC
41,2439.2983293556085,48.74582338902148,sample1,MDSC
42,483.8458149779736,51.11820851688693,sample1,MDSC
43,924.5947098976108,52.28412969283277,sample1,MDSC
44,1179.0,50.257510729613735,sample1,CD16/CD14
45,1937.708534621578,51.56521739130435,sample1,CD16/CD14
47,2528.005571030641,52.08820798514392,sample1,MDSC
48,1092.4010600706713,50.83922261484099,sample1,CD16/CD14
49,1757.0013392857145,52.55714285714286,sample1,MDSC
50,2362.471186440678,54.76271186440678,sample1,Treg
51,1065.773558368495,55.13642756680731,sample1,CD16/CD14
52,2465.716527196653,58.49476987447699,sample1,MDSC
53,1240.5451586655818,57.66802278275021,sample1,CD4+ Tcells
54,2493.029197080292,58.00567721005677,sample1,MDSC
55,74.50151057401813,60.21148036253776,sample1,CD16/CD14
56,1342.2677329624478,60.921418636995824,sample1,MDSC
57,1461.97965571205,60.13849765258216,sample1,MDSC
58,1588.1719077568134,61.3235499650594,sample1,MDSC
59,2126.531266702298,59.440406199893104,sample1,MDSC
60,1130.8321167883212,65.00912408759125,sample1,CD4+ Tcells
61,1416.4252631578947,65.83368421052631,sample1,MDSC
62,440.4778761061947,67.27654867256638,sample1,MDSC
63,2311.60447761194,66.66311300639659,sample1,CD4+ Tcells
64,1027.9775280898875,69.0561797752809,sample1,MDSC
65,1670.5021097046413,69.06962025316456,sample1,CD31+ endothelial
66,173.5082644628099,71.13636363636364,sample1,CD16/CD14
67,888.4695467422097,69.75637393767705,sample1,MDSC
68,2283.0068027210887,69.31632653061224,sample1,CD16/CD14
69,16.460766423357665,74.25821167883211,sample1,MDSC
70,537.3814102564103,75.68910256410257,sample1,MDSC
71,1541.2870140612076,75.01943755169562,sample1,MDSC
72,2213.37384744342,74.55993294216262,sample1,CD4+ Tcells
73,1276.4482942430704,79.58315565031982,sample1,CD4+ Tcells
74,1940.3344208809133,73.85861881457313,sample1,MDSC
75,2242.5883002207506,77.46909492273731,sample1,CD4+ Tcells
76,2426.688,76.85466666666666,sample1,MDSC
77,1769.0987654320988,81.59171075837743,sample1,MDSC
78,2357.7172177879133,81.40706955530217,sample1,Treg
79,337.50399361022363,84.97364217252397,sample1,CD4+ Tcells
80,1447.586976744186,82.64279069767441,sample1,MDSC
81,2168.1117318435754,83.08379888268156,sample1,CD4+ Tcells
82,827.920428462127,86.43075745983168,sample1,CD4+ Tcells
83,1083.459649122807,91.21988304093568,sample1,MDSC
84,1810.5812917594656,92.51002227171492,sample1,MDSC
86,2474.927299703264,91.31454005934718,sample1,MDSC
87,1589.229992229992,95.28593628593627,sample1,Macrophages
88,2500.964480874317,94.49453551912568,sample1,CD16/CD14
89,1111.9771801140994,96.8883455582722,sample1,CD4+ Tcells
90,1425.7617486338795,95.23387978142075,sample1,MDSC
91,1337.2233846153847,97.95938461538462,sample1,CD4+ Tcells
92,1960.0,99.34410339256866,sample1,MDSC
93,27.05072126570498,102.22429036761284,sample1,MDSC
