CellID,DNA 1,Na/K ATPase,CD3,CD45RO,DNA 2,Antigen Ki67,Pan-cytokeratin,Aortic smooth muscle actin,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
1,26720.67661691542,3060.731343283582,1113.3034825870648,1978.9751243781095,11268.218905472637,1181.0199004975125,144.6766169154229,494.81094527363183,5.562189054726368,8.711442786069652,201,22.62365713356884,14.176916774065376,0.7793078624303656,0.8271604938271605,0.7362637362637363,-0.19363778325503164
2,25857.70707070707,3292.2727272727275,2128.4949494949497,6958.393939393939,9969.222222222223,940.1111111111111,119.25252525252525,411.90909090909093,19.67676767676768,4.4646464646464645,99,15.605188429939513,9.32025954740443,0.8020522344518894,0.8761061946902655,0.5892857142857143,0.8138000334041384
3,27101.35975609756,3147.6341463414633,2771.731707317073,6035.682926829269,21958.036585365855,1694.3902439024391,221.90853658536585,777.5853658536586,29.670731707317074,8.975609756097562,164,20.32643131131018,11.353275664509617,0.8294725946224314,0.8118811881188119,0.6639676113360324,0.018771697951538494
4,26585.877419354838,3499.6129032258063,2040.0064516129032,3534.6129032258063,13616.167741935484,1171.2903225806451,150.78064516129032,483.36129032258066,42.87741935483871,4.883870967741935,155,18.2817967477133,12.693040006049554,0.7196863078136959,0.8115183246073299,0.7013574660633484,1.301013448226524
5,28515.053846153845,3185.9538461538464,1185.5461538461539,2539.6,19524.438461538462,1476.823076923077,182.63076923076923,673.9538461538461,66.05384615384615,6.153846153846154,130,15.624824204603803,11.049250366607886,0.707053578717553,0.9027777777777778,0.6770833333333334,-1.5394371629639314
6,26730.66379310345,3177.6724137931033,1153.3706896551723,2103.810344827586,10395.741379310344,1177.801724137931,130.77586206896552,426.62068965517244,79.44827586206897,4.586206896551724,116,13.585160024604923,11.678405847306978,0.5108929616894928,0.8923076923076924,0.7532467532467533,0.9646679370213982
7,27404.72131147541,3470.6639344262294,2048.622950819672,8063.5327868852455,15167.909836065573,1488.0819672131147,185.0983606557377,589.9016393442623,90.68852459016394,6.024590163934426,122,15.238176129974764,10.758449667106362,0.7081923816392149,0.8776978417266187,0.7261904761904762,-0.4523114111549158
8,24154.74358974359,2985.4188034188032,974.6581196581196,2024.4102564102564,11417.23076923077,12458.28205128205,165.66666666666666,546.7863247863248,147.95726495726495,5.478632478632479,117,14.66493850902892,10.815333046985907,0.6753515340976046,0.8863636363636364,0.65,1.1765216112089854
9,30669.377192982458,4814.596491228071,2788.535087719298,2865.5175438596493,11776.67543859649,1381.482456140351,161.89473684210526,482.96491228070175,187.93859649122808,4.359649122807017,114,15.837751946628922,10.298216885359095,0.7597355048336601,0.9421487603305785,0.5846153846153846,0.9260220707153283
10,30618.27659574468,4069.0851063829787,1220.063829787234,2016.723404255319,16030.904255319148,1540.159574468085,204.2127659574468,603.1489361702128,203.45744680851064,4.127659574468085,94,12.690970053727579,9.689354869733718,0.6458265295767128,0.912621359223301,0.7230769230769231,1.1331020739557747
11,29819.349397590362,3426.7951807228915,995.5301204819277,2047.710843373494,13535.686746987953,1251.3975903614457,179.97590361445782,487.09638554216866,214.95180722891567,3.4216867469879517,83,13.277008073385257,8.395078007011554,0.7747220484817574,0.8924731182795699,0.6587301587301587,1.1097258787724005
12,27640.896103896102,4178.506493506494,1138.012987012987,1666.2337662337663,28384.935064935064,2803.961038961039,366.6753246753247,780.2467532467532,55.96103896103896,10.922077922077921,77,14.922400624703938,6.954807959973645,0.8847505064704609,0.9058823529411765,0.5384615384615384,0.7408447342181133
