sample_id,enable,report_group_ids,color_by,ncbi_accession,ref_group_ids,year,country,Country/inferred country of contamination,Inferred Continent of contamination,strain_name,Inferred Region of contamination (for Figures),origin,type,Place of sampling (Water),species,serotype,STM 3356  d-Tar- specific SNV,phage_type,MLST,lineage,genotype,antimicrobial,Chromosomal coverage (%),Average chromosomal read depth,% reads mapped,Total reads,Num SNVs,Num heterozygous SNVs,Num indels,Num contigs,Genome size (bp),Ratio heterozygous/homozygous SNVs,Accession nos (circularized genomes),Accession nos (draft genomes),publication_source,ploidy
NCTC8299__1945__MandatoryPalestine__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,SRR7522871,Salmonella_enterica_GCF_039778255_1,1945,Mandatory Palestine,Mandatory Palestine,Asia,NCTC 8299,Middle East,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,5113,Lineage 1,1,none,98.52,52.13,97.8029,2494522,1425,43,38,36,4592080,0.030175439,,,This study,1
63-90__1990__Turkey__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737546,Salmonella_enterica_GCF_039778255_1,1990,France,Turkey,Asia,63-90,Middle East,Human,Blood,NA,S. enterica,Paratyphi B,Present,Beccles,5113,Lineage 1,1,none,98.74,119.97,89.368,5891578,1442,31,35,68,4672343,0.02149792,CP147907,,This study,1
42-88__1988__Turkey__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737514,Salmonella_enterica_GCF_039778255_1,1988,France,Turkey,Asia,42-88,Middle East,Human,Stools,NA,S. enterica,Paratyphi B,Present,RDNC,5113,Lineage 1,1,none,99.07,141.34,97.9217,5411904,1402,93,38,62,4636184,0.066333809,,,This study,1
173-73__1973__France__Environment,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737465,Salmonella_enterica_GCF_039778255_1,1973,France,France,Europe,173-73,Europe,Environment,Sea water,NA,S. enterica,Paratyphi B,Present,1,86,Lineage 2,2,none,98.35,197.91,97.4911,7534342,673,1,29,63,4624969,0.001485884,,,This study,1
CIP106224__1935__Canada__Unknown,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737639,Salmonella_enterica_GCF_039778255_1,1935,Canada,Canada,America,CIP 106224,America,Unknown,,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 2,2,none,98.47,89.27,96.6162,2965448,649,82,21,129,4557776,0.126348228,,,This study,1
52-76__1976__France__Environment,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737525,Salmonella_enterica_GCF_039778255_1,1976,France,France,Europe,52-76,Europe,Environment,River water,Normandy,S. enterica,Paratyphi B,Present,1,86,Lineage 2,2,none,98.93,222.66,97.7566,7420286,654,104,14,68,4611085,0.159021407,,,This study,1
167-76__1976__France__Environment,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737459,Salmonella_enterica_GCF_039778255_1,1976,France,France,Europe,167-76,Europe,Environment,River water,Normandy,S. enterica,Paratyphi B,Present,Non typable,86,Lineage 2,2,none,98.9,129.82,96.9694,4454820,672,125,9,70,4583461,0.186011905,,,This study,1
37-73__1973__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737503,Salmonella_enterica_GCF_039778255_1,1973,France,France,Europe,37-73,Europe,Human,Bile,NA,S. enterica,Paratyphi B,Present,1,86,Lineage 2,2,none,98.91,99.23,97.1309,3447758,657,109,21,89,4684886,0.165905632,,,This study,1
102-66__1966__France__Animal,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737424,Salmonella_enterica_GCF_039778255_1,1966,France,France,Europe,102-66,Europe,Animal,Clams,NA,S. enterica,Paratyphi B,Present,1,86,Lineage 2,2,none,98.88,74.62,97.9748,2579012,648,94,20,116,4620805,0.145061728,,,This study,1
18-67__1967__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737471,Salmonella_enterica_GCF_039778255_1,1967,France,France,Europe,18-67,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,1,86,Lineage 2,2,none,98.9,209.94,98.2542,6980576,663,62,23,84,4515755,0.093514329,,,This study,1
22-73__1973__France__Environment,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737482,Salmonella_enterica_GCF_039778255_1,1973,France,France,Europe,22-73,Europe,Environment,River water,NA,S. enterica,Paratyphi B,Present,1,86,Lineage 2,2.1,none,98.9,108.58,98.3191,3674400,666,89,34,96,4608590,0.133633634,,,This study,1
ATCC10719__1939__USA__Unknown,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,SRR955214,Salmonella_enterica_GCF_039778255_1,1939,United States,United States,America,ATCC 10719,America,Unknown,,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 2,2.1,none,98.8,20.27,97.0205,252558,619,71,14,88,4686169,0.114701131,,,"Unpublished, draft genome (FDA)",1
CIP54_103__1953__Austria__Unknown,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737643,Salmonella_enterica_GCF_039778255_1,1953,Austria,Austria,Europe,CIP 54.103,Europe,Unknown,,NA,S. enterica,Paratyphi B,Present,1,86,Lineage 2,2.1,none,98.85,80.09,96.7167,2670386,665,96,20,138,4594243,0.144360902,,,This study,1
SH15G2070__2015__China__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,NMDC40011917,Salmonella_enterica_GCF_039778255_1,2015,China,China,Asia,SH15G2070,Asia,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 2,2.1,none,98.94,377.78,98.777,12641856,696,8,31,76,4600568,0.011494253,,,Wang et al. Natl Sci Rev. 2022,1
493366__2018__UKOrElsewhere__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,SRR8523817,Salmonella_enterica_GCF_039778255_1,2018,United Kingdom,UK or elsewhere,Unknown,493366,Unknown,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 2,2.1,none,99.27,83.67,97.4015,4008506,1385,53,55,49,4673438,0.038267148,,,Chattaway et al. Microb Genom. 2021,1
SMG-20-979__1990__Spain__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR4276755,Salmonella_enterica_GCF_039778255_1,1990,United Kingdom,Spain,Europe,SMG-20-979,Europe,Human,Pus,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 2,2.1,none,98.92,101.05,97.8262,1923274,656,117,36,79,4632752,0.178353659,,,This study,1
SMG-20-968__1989__Egypt__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR4276751,Salmonella_enterica_GCF_039778255_1,1989,United Kingdom,Egypt,Africa,SMG-20-968,Middle East,Human,Blood,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 2,2.1,none,98.9,69.14,98.4724,1250458,652,95,32,78,4632018,0.145705521,,,This study,1
SL210010__1977__Japan__Environment,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,DRR289653,Salmonella_enterica_GCF_039778255_1,1977,Japan (Toyama),Japan,Asia,SL210010,Asia,Environment,Unknown,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 2,2.1,none,98.84,70.3,98.8379,1681476,544,44,3,79,4662222,0.080882353,,,This study,1
SH16G3159__2015__China__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,NMDC40012039,Salmonella_enterica_GCF_039778255_1,2015,China,China,Asia,SH16G3159,Asia,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 2,2.1,none,99.02,285.84,97.6875,9619420,633,31,25,73,4667548,0.048973144,,,Wang et al. Natl Sci Rev. 2022,1
B309__1941__UK__Unknown,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737612,Salmonella_enterica_GCF_039778255_1,1941,United Kingdom,United Kingdom,Europe,B309,Europe,Unknown,,NA,S. enterica,Paratyphi B,Present,1,86,Lineage 2,2.1,none,98.94,163.48,97.8485,5469322,649,49,20,76,4584590,0.07550077,,,This study,1
2-57__1956__Germany__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737373,Salmonella_enterica_GCF_039778255_1,1956,Germany,Germany,Europe,2-57,Europe,Human,Bile,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 2,2.1,none,99.07,176.53,97.8261,6761110,687,6,30,71,4628499,0.008733624,,,This study,1
524183__2018__UK__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,SRR7456920,Salmonella_enterica_GCF_039778255_1,2018,United Kingdom,United Kingdom,Europe,524183,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 2,2.1,none,98.92,42.19,97.9193,2014988,646,45,19,43,4622151,0.069659443,,,Chattaway et al. Microb Genom. 2021,1
416382__2017__UK__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,SRR7244400,Salmonella_enterica_GCF_039778255_1,2017,United Kingdom,United Kingdom,Europe,416382,Europe,Human,Unknown,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 2,2.1,none,98.92,57.2,98.3246,2724828,671,62,19,37,4549620,0.092399404,,,Chattaway et al. Microb Genom. 2021,1
SH11G0446__2011__China__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,NMDC40011720,Salmonella_enterica_GCF_039778255_1,2011,China,China,Asia,SH11G0446,Asia,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 2,2.1,gyrA_S83F,98.94,198.36,98.039,6724316,675,98,25,84,4673656,0.145185185,,,Wang et al. Natl Sci Rev. 2022,1
CIP54_100__1941__UK__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR460156,Salmonella_enterica_GCF_039778255_1,1941,United Kingdom,United Kingdom,Europe,CIP 54.100,Europe,Human,Unknown,NA,S. enterica,Paratyphi B,Present,2,86,Lineage 2,2.1,none,98.97,99.36,96.2096,5365614,663,165,22,102,4723986,0.248868778,CP147906,,Connor et al. Mbio. 2016,1
