	TCGA.49.6767.01A.11R.1858.07	TCGA.78.7150.01A.21R.2039.07	TCGA.67.3772.01A.01R.0946.07	TCGA.NJ.A55O.01A.11R.A262.07	TCGA.78.7146.01A.11R.2039.07
g_1_	0.170398720510087	0.150563777461059	0.116038555125044	0.244931803760345	0.179071948880609
g_10_	0	0.258109332790386	0.193397591875073	0.0734795411281035	0.298453248134349
g_100_	20.050249446687	20.6702557342967	7.25240969531524	5.70691102761604	13.6293649981353
g_1000_	0.369197227771856	3.29089399307742	2.05001447387578	0.612329509400862	0.338247014552262
g_10000_	16.3866769557201	18.1751988506563	17.4057832687566	12.2955765487693	5.2726740503735
g_100008586_	0	0	0	0	0
g_10001_	31.1545660665943	23.2728581732665	21.8345881226958	18.4188716427779	25.0899697264943
g_10002_	0.198798507261769	0.0215091110658655	0.0966987959375366	0.416384066392586	0.0198968832089566
g_10003_	0.312397654268494	1.2475284418202	1.08302651450041	1.46959082256207	0.298453248134349
g_100033411_	0	0	0	0	0
g_100037417_	28.4281865384329	37.0601983664863	34.0766556883879	31.25329815982	7.3817436705229
g_10004_	1.47678891108742	2.34449310617934	5.24107473981448	2.44931803760345	0.99484416044783
g_100049587_	2.12998400637609	2.45203866150867	3.92597111506399	5.82937692949621	1.94989455447775
g_10005_	28.7689839794531	15.1424141903693	24.8709303151344	19.6435306615797	22.443684259703
g_10006_	59.071556443497	85.9073895970668	90.3360151648467	73.4795411281035	82.2736120690355
g_10007_	128.565834624861	33.7693043734088	43.0503039513913	39.1645954212792	52.1497308906752
g_10008_	5.4527590563228	69.6680107423384	8.87694946706586	20.7212305981252	19.26018294627
g_10009_	74.8902376641834	31.7474479332175	50.4767714793941	29.2448573689852	65.6000239399299
g_1001_	793.09244482745	45.2121514604493	31.3110701245743	36.5193319406674	417.496300373536
g_10010_	63.8711204045311	60.8922934274652	96.3506802721615	37.5235523360848	41.4253108410476
g_100101267_	111.923559588376	45.6423336817666	26.6888676787601	48.4230176034202	38.4407783597041
g_100101268_	0.795194029047075	1.3120557750178	0.309436147000117	0.465370427144655	0.557112729850785
g_100101467_	11.0191172596523	8.32402598248995	8.04533982200305	12.1241242861371	9.39132887462751
g_100101629_	0	8.10893487183129	0	0	0
g_10011_	23.3730244966337	24.9075506142722	60.0886317955852	31.5472163243324	29.4473871492558
g_100113407_	4.11796907899378	6.86140643001109	13.0736772107549	5.63343148648793	2.50700728432853
g_100125288_	0.68159488204035	0.473200443449041	0.251416869437595	0.759288591657069	0.636700262686611
g_100126572_	0	0.0215091110658655	0	0	0
g_100127206_	0	0	0	0.0244931803760345	0
g_100127983_	0.0851993602550437	2.06487466232309	0.947648200187859	0.318411344888448	0.93515351082096
g_100128071_	0.851993602550437	0.451691332383176	0.367455424562639	3.60049751527707	0.736184678731394
g_100128327_	0.141998933758406	0.0215091110658655	0.0386795183750146	0	0.0198968832089566
g_100128553_	0	0	0	0	0
g_100128569_	1.30639019057734	1.29054666395193	0.135378314312551	3.86992249941345	1.87030702164192
g_100128731_	117.972714166484	143.401243476125	250.14044533122	95.5968830076626	109.154301284336
g_100128908_	0	0	0	0	0
g_100128927_	48.4784359851199	35.5975788140074	17.6378603790067	35.2701797414897	17.5490509902997
g_100128966_	26.553800612822	33.102521930367	22.3954411391335	26.9424984136379	61.8196161302281
g_100129128_	0	0	0.058019277562522	0.734795411281035	0.298453248134349
g_100129216_	0.0283997867516812	0.043018222131731	0.0386795183750146	0.0734795411281035	0.159175065671653
g_100129239_	0	0	0	0	0
g_100129250_	0.965592749557162	20.2185644019136	5.84060727462721	2.10641351233897	0.955050394029916
g_100129271_	0	0	0	0	0
g_100129278_	0	0	0	0	0
g_100129361_	50.6652195649993	38.7163999185579	21.6025110124457	41.1485430317379	33.0686198932859
g_100129407_	0	0	0	0	0
g_100129480_	1.19279104357061	3.09731199348463	1.14104579206293	1.4940840029381	0.298453248134349
g_100129515_	0	0	0	0	0
g_100129520_	0	0	0	0	0
g_100129543_	0.993992536308843	0.0215091110658655	0.850949404250322	0.244931803760345	1.11422545970157
g_100129583_	0.880393389302118	0.709800665173562	1.87595664118821	2.74323620211586	0.955050394029916
g_100129654_	0.397597014523537	0.129054666395193	0.7929301266878	0.293918164512414	2.02948208731357
g_100129669_	0	0	0	0	0
g_100129792_	0.397597014523537	0.494709554514907	2.16605302900082	2.27786577497121	0.577009613059741
g_100129842_	7.07154690116863	0.666782443041831	5.39579281331454	3.86992249941345	3.58143897761219
g_100129924_	0.4543965880269	0.043018222131731	0	0.048986360752069	0.0795875328358264
g_100129969_	0	0.086036444263462	0.0386795183750146	0	0.0795875328358264
