gene_id	gene_name	SRX11780879	SRX11780880	SRX11780881	SRX11780882	SRX11780883	SRX11780884	SRX11780885	SRX11780886	SRX11780887	SRX11780888	SRX11780889	SRX11780890
ENSG00000000419	DPM1	686.922019839209	370.750909522808	376.841905293004	426.744744470106	464.416967867988	451.548202584947	48.3020879492864	56.3526244954322	59.9362406322622	59.849251639648	29.272701133137	40.3491638765101
ENSG00000019186	CYP24A1	0	0	0.614323661079619	0	0	0	0.932810414590119	3.49538689877843	2.26018538178752	11.4675905176581	5.57430487632017	5.49458165808235
ENSG00000020256	ZFP64	104.364950680833	144.762239226306	162.633226507223	160.327503984055	208.848492951562	175.62484764524	1.35021803698928	5.36710651827148	15.0123617229267	7.2446238122793	26.0597746027539	4.57896400926122
ENSG00000022277	RTF2	1371.85654010722	1032.21017233921	950.562330225012	956.161645398489	1000.51292448712	1096.6527655452	102.40426896501	128.249620128223	140.839100700282	123.515948090118	110.618452671319	81.6142428645842
ENSG00000025293	PHF20	764.723137601213	821.794235468502	736.883573612569	821.240839764312	793.710728191015	789.198200222966	82.300418314551	82.3857589428881	59.6047354710421	53.1050000583887	177.616420079747	35.8190918548154
ENSG00000025772	TOMM34	704.991286886284	579.232148465841	546.091379317317	714.374328023652	611.679542196439	640.852093516403	24.9347934978844	33.7085088016305	32.6948805140011	42.2253278266587	40.3177256709121	31.7929109689188
ENSG00000026036	RTEL1-TNFRSF6B	221.725259227673	425.412845740231	467.174289971236	408.887308528273	368.712167416988	343.912125320281	6.93565366460771	21.3337560337491	9.42775783061064	8.75917375775627	9.64352297507889	16.8900364368893
ENSG00000026559	KCNG1	55.0427289567118	79.8367232679065	84.9107697171972	95.6977188192002	147.630547465226	111.315606399655	1.39412770011305	6.22595115138367	3.60534608370168	9.54946169643747	5.957409555333	9.85215876167083
ENSG00000042062	RIPOR3	6.03756368077378	0	0.705934563039285	9.32213646177135	2.05539657453075	6.59870554524999	1.07247056672914	1.53898139996965	1.4927054549856	0.470253748231216	1.50867425060176	0.495699489668884
ENSG00000053438	NNAT	1.14151717570095	13.354782909324	10.6776989001456	6.21042343656502	9.22597332809166	6.97022622205499	0	0	0	0	0	0
ENSG00000054793	ATP9A	41.9765528063101	87.7644432176389	109.346160272143	118.924093684407	123.897222740284	117.950136233937	7.16816860244	9.94991070267603	11.0731895532443	1.571548106446	7.93386994560074	8.60244146212867
ENSG00000054796	SPO11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000054803	CBLN4	0	0	0	0	0	0	0	0	2.44525740863523	0	0	0
ENSG00000060491	OGFR	925.971580532555	863.231688150086	806.178052763664	732.792983903072	660.952707462335	743.239225174459	61.9268000789	29.0650409665388	78.7691021775571	60.4260994505248	55.6221061395484	50.7952729760749
ENSG00000061656	SPAG4	34.4325590028657	34.183952922304	26.4985443726677	18.3114136546287	13.514545232323	16.9700119728306	1.1006389879412	2.15747469677752	6.46914799383456	4.28049398774912	6.10342597067526	4.51210403337546
ENSG00000062598	ELMO2	318.041949096508	397.173605174062	427.749790945809	376.615512152811	387.685194466419	359.475340096924	47.3820458302025	21.0793478800709	23.2428720057576	151.320235581146	64.1484305083431	38.6843983860569
ENSG00000064205	CCN5	59.8899881108197	40.9459540966422	31.3538132991731	31.9256632025417	25.9174198673434	21.4850856446001	0	0	0.79563122014958	3.67774490838527	3.53630934685959	6.18946604210834
ENSG00000064601	CTSA	2130.26304094683	2046.65332958973	2289.06043593967	2354.02659281782	2399.983890438	2403.5669527446	28.5252416755827	41.7544356522959	97.0128765731536	215.414980663391	139.509221917159	179.872729298228
ENSG00000064655	EYA2	340.604588250438	378.521249124813	372.13260908242	365.20141249456	352.107481188148	330.12879413621	18.2089310041642	15.4268138847638	13.5469383280303	20.4601830120129	19.4226795063642	18.3791162236783
ENSG00000064787	BCAS1	0	0	0	0	0	0	1.76527249472952	0	1.59587815413334	0	0.798044002952009	0
ENSG00000075043	KCNQ2	0	0	0	0	0	0	2.5724504963665	0	0	0	0	0
ENSG00000077984	CST7	0	0	1.12597676071203	0	0	0	0	0.844733793644702	0	0	0	0
