CellID,DNA1,Rabbit IgG,Goat IgG,Mouse IgG,DNA2,CD73,CD107B,MART1,DNA3,KI67,pan-CK,CD45,X_centroid,Y_centroid,column_centroid,row_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
1,8662.613139,2295.708029,559.9927007,3851.937956,11831.90511,743.1459854,1210.79562,1149.383212,9512.821168,410.8540146,343.4890511,592.8576642,1665.613139,202.5875912,1665.613139,202.5875912,274,26.40138282,13.76910777,0.853233071,0.913333333,0.566115702,0.741532596
2,9728.044776,2357.492537,577,3956.462687,13151.92537,739.3134328,960.9701493,1144.776119,11379.26866,412.0895522,235.8656716,566.0149254,1677.283582,201.4925373,1677.283582,201.4925373,67,12.81375591,7.326953435,0.820390452,0.858974359,0.609090909,0.395869226
3,11468,2246.327759,581.1705686,3544.896321,16436.77258,816.6956522,1252.204013,1137.250836,13422.67893,443.9464883,330.812709,573.3110368,1690.755853,210.2575251,1690.755853,210.2575251,299,26.56165964,15.6720741,0.807384126,0.830555556,0.605263158,0.183857643
4,4940.8,2104.742857,554.5571429,3393.957143,6253.1,708.0142857,559.9857143,1074.928571,5295.328571,379.9142857,401.9714286,545.6428571,1441.214286,202.9857143,1441.214286,202.9857143,70,11.54434642,7.938430447,0.726045569,0.985915493,0.729166667,-1.506243633
5,8649.7,2192.981818,571.1818182,3519.627273,11578.96364,710.5363636,511.2272727,1116.572727,7881.545455,388.7181818,360.8727273,560.6818182,1429.281818,206.3090909,1429.281818,206.3090909,110,19.0879988,7.539825121,0.918679642,0.894308943,0.643274854,1.392286477
6,5776,1968.271605,535.9753086,2723.080247,7864.432099,708.7530864,865.2962963,1063.166667,5927.055556,421.8271605,432.2222222,562.3148148,1650.444444,208.7901235,1650.444444,208.7901235,162,20.93611501,10.53091847,0.864284948,0.852631579,0.675,-1.392738203
7,7391.778351,1957.659794,564.6804124,3321.427835,10375.06701,817.3247423,1743.654639,1124.149485,7237.690722,417.9072165,317.7731959,687.1649485,1477.489691,212.1030928,1477.489691,212.1030928,194,20.01101074,12.44228191,0.783198471,0.974874372,0.718518519,1.030187411
8,2941.595745,1836.340426,516.3191489,3178.06383,3881.06383,635.6595745,1196.382979,1097.085106,2419.297872,363.5957447,275.1914894,595.5957447,1456.978723,208.7446809,1456.978723,208.7446809,47,9.171008769,6.51934994,0.703328394,0.979166667,0.746031746,-1.544147947
9,3469.515021,1927.433476,526.0944206,3488.484979,4794.978541,661.0214592,2066.399142,1146.193133,3397.017167,372.8841202,767.9098712,568.0429185,1723.39485,213.7339056,1723.39485,213.7339056,233,24.31963733,13.26976401,0.838019762,0.885931559,0.633152174,1.219247447
10,4401.820122,1661.057927,535.4390244,2762.807927,6221.292683,785.7286585,1601.823171,1090.753049,4956.527439,412.4786585,317.8963415,637.0426829,1541.542683,216.6097561,1541.542683,216.6097561,328,22.98186532,18.73310032,0.579284656,0.934472934,0.750572082,1.5698431
11,8874.38806,2202.261194,583.4776119,3416.589552,12918.02985,791.0373134,751.6492537,1102.134328,10795.16418,454.641791,332.2761194,576.2537313,1680.186567,215.2761194,1680.186567,215.2761194,134,15.10460782,11.4415845,0.65284714,0.917808219,0.687179487,0.6316778
12,6301.005814,1943.668605,595.2209302,3119.145349,9081.505814,762.2674419,1795.604651,1114.447674,7888.860465,426.0872093,803.3023256,575.4360465,1703.110465,217.8430233,1703.110465,217.8430233,172,17.03436104,13.67510431,0.596254786,0.91005291,0.632352941,-0.231866007
13,5730.67094,2012.846154,566.5299145,3623.448718,8028.081197,896.3803419,1468.662393,1168.752137,7608.786325,406.8760684,252.042735,552.8034188,1348.307692,216.8076923,1348.307692,216.8076923,234,19.21937322,17.09490216,0.457009134,0.854014599,0.696428571,-1.084547441
14,10922.17059,3000.6,756.2764706,4343.252941,14312.24118,979.8529412,729.0235294,1171.164706,11694.60588,477.5647059,274.5705882,596.0058824,1364.988235,215.4235294,1364.988235,215.4235294,170,17.6100889,13.6735314,0.630166416,0.885416667,0.62962963,-1.411317098
15,7000.087302,1910.492063,532.047619,2902.039683,10322.50794,728.7460317,1702.690476,1102.007937,7673.02381,420.1746032,350.4920635,570.4047619,1614.261905,216.6111111,1614.261905,216.6111111,126,16.15078446,10.3410101,0.768142334,0.881118881,0.7,0.341879285
16,5464.536585,1601.186992,521.5853659,2435.219512,7665.861789,848.3658537,1713.325203,1091.447154,5073.918699,431.0325203,318.2357724,678.4796748,1518.00813,219.7154472,1518.00813,219.7154472,123,13.42370601,11.71352728,0.488435314,0.953488372,0.675824176,-1.055468686
17,6736.165605,2404.77707,628.3694268,4084.726115,9461.713376,780.2866242,1093.407643,1138.535032,6901.828025,410.8471338,351.6624204,573.1464968,1759.853503,222.1910828,1759.853503,222.1910828,157,17.9188533,11.47136472,0.768221541,0.94011976,0.697777778,-0.778235143
18,5962.963303,1948.908257,591.2018349,2632.12844,8536.963303,784.5137615,1156.715596,1074.348624,5843.293578,436.0458716,840.587156,596.2477064,1587.366972,223.1009174,1587.366972,223.1009174,109,15.92418445,8.734196339,0.836159569,0.973214286,0.707792208,1.033689966
19,9405.258065,2876.258065,701.0645161,4521,12307.32258,852.7096774,823.6129032,1162.483871,7767.354839,405.483871,266.9677419,562.3870968,1334.451613,221.9354839,1334.451613,221.9354839,31,7.763814534,5.412628286,0.71691465,1,0.738095238,-1.007607768
20,13871.53488,2617.77907,717.0116279,3376.860465,19426.33721,1013.709302,872.1976744,1132.790698,14255.17442,501.5465116,321.0813953,618.0465116,1359.546512,225.2674419,1359.546512,225.2674419,86,12.49377321,9.018384908,0.692070026,0.966292135,0.614285714,-1.226850499
21,4536.906667,1831.546667,471.38,2811.993333,6264.926667,643.0066667,960.4,1070.753333,4787.366667,383.5933333,247.7533333,570.4133333,1439.433333,226.4933333,1439.433333,226.4933333,150,20.7747427,9.917908558,0.878684874,0.882352941,0.649350649,-1.522363576
22,1691.965517,1487.577586,450.7155172,2461.017241,2358.301724,605.387931,1627.931034,1058.508621,2208.491379,377.1293103,323.2068966,570.6637931,1450.077586,233.112069,1450.077586,233.112069,116,16.33327196,10.05996143,0.787810017,0.852941176,0.537037037,-0.15492288
23,6583.983871,2147.080645,601.9032258,3600.274194,8762.258065,897.4193548,1041.33871,1114.887097,6183.322581,423.1935484,303.8548387,820.4677419,1373.983871,228.4193548,1373.983871,228.4193548,62,10.6879802,7.490692331,0.713306715,0.984126984,0.704545455,0.299105901
24,3670.887967,1781.103734,499.2033195,2695.448133,5055.348548,650.340249,1203.282158,1059.585062,3907.502075,387.7551867,300.0995851,565.6307054,1422.103734,237.4647303,1422.103734,237.4647303,241,27.75791927,11.82632056,0.904698615,0.854609929,0.593596059,0.01983691
25,6110.300236,1905.153664,554.6973995,2924.550827,8704.29078,732.5153664,1151.650118,1089.815603,7020.72104,411.8061466,359.7612293,588.7092199,1767.148936,235.7470449,1767.148936,235.7470449,423,28.0970376,19.78861121,0.709907139,0.933774834,0.694581281,1.474469503
26,2611.637168,1608.115044,558.4778761,2851.632743,3789.19469,775.5530973,2706.725664,1139.022124,2943.90708,399.2256637,372.4159292,622.7389381,1547.659292,234.6769912,1547.659292,234.6769912,226,22.509126,13.05564049,0.814605485,0.945606695,0.627777778,0.996424721
27,5582.666667,1613.796296,479.9351852,2263.212963,8138.851852,676.5648148,1894.62037,1046.916667,6218.62963,985.8796296,343.6203704,555.2407407,1677.509259,235.3611111,1677.509259,235.3611111,108,13.84569287,10.9131978,0.615417076,0.923076923,0.642857143,-1.004639682
28,5389.099174,1574.694215,495.5206612,2178.438017,7827.173554,718.1818182,1739.61157,1051.702479,6231.528926,843.5950413,378.107438,563.1570248,1688.942149,234.9090909,1688.942149,234.9090909,121,13.57348752,11.79036359,0.495458078,0.952755906,0.715976331,0.715874601
29,4585.284211,1543.957895,465.2315789,2530.8,5896.042105,626.2105263,2153.221053,1091.494737,3643.526316,347.3473684,408.1052632,569.6842105,1311.631579,234.4210526,1311.631579,234.4210526,95,11.4164976,10.77533776,0.330405203,0.989583333,0.863636364,0.092099922
30,3211.265766,1872.198198,490.2567568,2625.828829,4611.720721,670.1081081,2236.531532,1097.157658,4073.990991,399.5765766,273.1981982,570.8693694,1434.923423,238.6261261,1434.923423,238.6261261,222,18.77131286,16.43253492,0.483386941,0.913580247,0.770833333,-0.199927024
31,3714.457447,2238.425532,627.7553191,3377.648936,5305.265957,866.2659574,2238.244681,1130.808511,3641.329787,445.5212766,429.6808511,655.3404255,1786.702128,236.3510638,1786.702128,236.3510638,94,14.13549085,8.606562279,0.793276211,0.912621359,0.671428571,0.217765916
32,5358.511628,2027.27907,634.1860465,3534.511628,7505.162791,982.3488372,1173.186047,1125.906977,5670.395349,424.9302326,818.1395349,873.255814,1369.813953,234.744186,1369.813953,234.744186,43,7.578989266,7.429038599,0.197935969,1,0.671875,-0.176685091
33,4409.636364,1798.681818,683.5795455,3303.477273,5893.056818,926.8863636,1138.227273,1097.045455,4589.477273,397.6931818,332.6136364,740.2159091,1377.965909,239.875,1377.965909,239.875,88,14.6359722,7.750172722,0.848291793,0.967032967,0.733333333,-0.025222839
34,8351.793991,2159.23176,563.1330472,3059.944206,12001.6309,985.3304721,1663.098712,1102.137339,9013.420601,448.3133047,264.6609442,591.6309013,1523.257511,244.0085837,1523.257511,244.0085837,233,23.76859777,13.96870216,0.809082067,0.841155235,0.675362319,-0.056290685
35,4312.559211,1613.157895,463.2697368,2511.302632,6375.651316,686.5855263,1738.684211,1076.486842,4999.894737,815.1513158,326.8552632,605.0131579,1701.953947,242.1644737,1701.953947,242.1644737,152,20.04281728,10.22524125,0.860073669,0.888888889,0.558823529,0.836458961
36,3815.025974,1501.194805,466.9350649,2020.25974,5429.896104,656.2727273,2002.25974,1071.467532,3938.064935,941.6623377,463.7142857,558.5714286,1666.922078,241.3376623,1666.922078,241.3376623,77,11.12536,9.331890609,0.544448172,0.93902439,0.493589744,-0.959695689
37,10832.43537,2017.707483,571.3945578,2875.380952,16099.05442,770.8843537,831.7823129,1076.272109,13397.2585,455.9047619,269.707483,627.8503401,1620.952381,243.5170068,1620.952381,243.5170068,147,19.88346736,9.8150246,0.869673488,0.91875,0.773684211,1.447380314
38,7049.143885,1845.503597,544.6834532,2637.769784,9878.510791,834.0863309,782.7913669,1070.705036,6782.446043,434.5179856,287.618705,848.3669065,1405.064748,250.0071942,1405.064748,250.0071942,139,15.97829674,11.1054565,0.718977051,0.945578231,0.723958333,0.262104074
39,3854.442424,1744.539394,504.6666667,2615.260606,5258.387879,671.2545455,1087.660606,1082.248485,4077.236364,386.3575758,309.6121212,573.8848485,1279.266667,252.8727273,1279.266667,252.8727273,165,20.32066823,10.90457955,0.84382081,0.906593407,0.578947368,0.486192845
40,8630.143939,1726.075758,516.9848485,2517.522727,12203.19697,856.5833333,909.3863636,1055.522727,8709.55303,427.9772727,314.6969697,763.5681818,1363.106061,250.1136364,1363.106061,250.1136364,132,15.56550538,10.84859832,0.717106027,0.970588235,0.6875,1.410038748
41,5578.577197,1646.182898,544.4299287,2281.776722,8171.995249,774.6009501,1706.394299,1078.023753,6183.674584,436.2969121,507.0071259,590.3942993,1795.646081,258.4275534,1795.646081,258.4275534,421,26.20551765,20.76882875,0.609824504,0.948198198,0.736013986,-0.052522764
42,4362.554745,1484.160584,481.1021898,2362.394161,6464.233577,647.9416058,1494,1065.416058,5105.635036,892.3284672,298.7153285,629.0145985,1701.058394,253.7226277,1701.058394,253.7226277,137,15.32084112,11.66507156,0.648299002,0.944827586,0.608888889,0.626517629
43,8033.100917,1736.568807,521.3486239,2538.56422,11962.84862,742.6238532,970.087156,1067.426606,9361.733945,430.2155963,341.9816514,711.4678899,1622.669725,254.1559633,1622.669725,254.1559633,218,21.86371595,13.65866101,0.780850297,0.893442623,0.741496599,1.50964725
44,3414.619718,1823.795775,564.3521127,3142.605634,4783.753521,866.0915493,1803.232394,1110.542254,3539.795775,411.6408451,1115.302817,580.8450704,1815.697183,254.1126761,1815.697183,254.1126761,142,17.83674943,10.18476126,0.820950943,0.965986395,0.717171717,-1.219290938
45,3255.085714,1707.242857,513.1857143,2633.014286,4468.5,793.6857143,1829.057143,1093.7,3039.671429,427.1571429,311.6,607.9571429,1254.728571,254.4,1254.728571,254.4,70,10.11134774,8.910291796,0.472711912,0.972222222,0.7,0.158728398
46,6363.661157,1848.123967,545.3966942,2552.53719,9462.785124,946.0165289,1218.68595,1075.842975,6339.049587,455.9752066,350.9008264,757.7190083,1761.247934,257.9338843,1761.247934,257.9338843,121,14.44089148,10.69458347,0.671972166,0.968,0.733333333,0.40315458
47,5130.445415,1786.331878,520.0960699,2501.965066,7096.039301,688.7816594,1095.043668,1054.751092,5277.681223,397.6375546,2004.786026,597.8864629,1272.31441,265.0873362,1272.31441,265.0873362,229,21.6180036,13.7166318,0.772922538,0.958158996,0.693939394,0.011440566
48,2313.819767,1878.186047,575.5174419,3568.901163,3272.604651,942.5116279,1366.674419,1164.401163,2627.593023,407.9360465,343.0581395,759.8953488,1877.081395,264.6627907,1877.081395,264.6627907,172,21.2800244,10.62370479,0.86646739,0.86,0.63003663,0.09600475
49,4429.621118,1976.161491,517.173913,3754.714286,6249.720497,808.5279503,1361.142857,1183.515528,4139.049689,482.552795,399.7080745,646.6024845,1889.372671,260.5031056,1889.372671,260.5031056,161,20.97120035,10.2465934,0.872506169,0.914772727,0.638888889,0.930714748
50,3282.904494,1603.230337,488.488764,2468.157303,4642.679775,657.0168539,1242.129213,1056.780899,4418.011236,407.8651685,273.8370787,721.8426966,1368.820225,263.6235955,1368.820225,263.6235955,178,16.21420627,14.624161,0.431871694,0.89,0.624561404,-0.215689598
51,5733.549296,1727.560563,506.8338028,2406.084507,8361.188732,755.3577465,1155.425352,1066.667606,6885.014085,1428.630986,342.4028169,614.8422535,1696.478873,267.9183099,1696.478873,267.9183099,355,27.61418789,17.079488,0.785781584,0.919689119,0.568910256,0.731398434
52,8923.387755,1812.479592,625.2857143,2644.459184,13075.42857,1157.010204,1365.122449,1104.326531,8431.744898,459.1326531,305.0612245,611.5612245,1525,260.5612245,1525,260.5612245,98,11.72762728,10.65769472,0.417301282,0.98989899,0.890909091,1.360116271
53,5336.4,1965.107143,500.6785714,3463.821429,7450.671429,705.6642857,1009.678571,1115.621429,5426.9,360.2,284.3571429,558.0857143,1216.492857,267.7142857,1216.492857,267.7142857,140,20.17357289,9.432770591,0.88395046,0.853658537,0.484429066,-0.827572948
54,3118.614815,1836.814815,507.9777778,3268.792593,4132.355556,743.9851852,1187.874074,1093.185185,3222.414815,369.7037037,259.6814815,552.5333333,1230.948148,264.1925926,1230.948148,264.1925926,135,18.77725292,10.09989673,0.843021825,0.924657534,0.625,-1.14904084
55,4225.807692,1717.115385,543.0384615,2713.641026,6130.948718,847.2692308,978.5,1043.333333,3710.974359,418.5641026,294.2435897,721.0384615,1421.717949,266.5769231,1421.717949,266.5769231,78,10.63760049,9.404695286,0.467299053,0.962962963,0.78,1.152762908
56,7181.772414,1947.986207,571.9103448,3089.627586,10441.5931,921.8965517,963.462069,1123.475862,6991.710345,449.0068966,301.8344828,752.4344828,1841.944828,270.6482759,1841.944828,270.6482759,145,15.02830769,12.37507963,0.567386942,0.947712418,0.743589744,0.283921718
57,5193.365854,1753.247967,524.6504065,2798.670732,7369.894309,803.1260163,1604.865854,1092.890244,5846.04065,410.6910569,388.5772358,642.2886179,1470.593496,277.9715447,1470.593496,277.9715447,246,22.54025131,14.64747349,0.760074197,0.931818182,0.615,-0.195716878
58,7765.728395,1599.061728,516.8024691,2383.246914,11048.16049,884.3580247,1773.62963,1103.481481,6557.901235,418.8024691,357.9135802,637.1234568,1505.17284,271.2592593,1505.17284,271.2592593,81,11.34375284,9.169887533,0.588682234,0.952941176,0.75,0.422104242
59,10745.89189,2458.378378,651.9391892,3952.060811,14165.56081,808.7635135,930.0337838,1140.831081,10064.27703,420.7432432,370.7027027,640.9256757,1187.743243,272.6148649,1187.743243,272.6148649,148,17.65303748,11.0854934,0.778241411,0.919254658,0.621848739,-1.021208016
60,5645.225806,1722.172043,543.0107527,2410.978495,8262,905.3978495,1384.301075,1063,6078.924731,442.5376344,372.7419355,607.172043,1713.193548,271.2365591,1713.193548,271.2365591,93,13.22882577,9.031497415,0.730686206,0.96875,0.775,1.154806467
61,3825.564815,1666.583333,496.787037,2746.166667,5176.398148,907.3703704,1391.462963,1092.546296,3823.148148,405.9166667,339.4074074,771.1574074,1402.842593,273.9166667,1402.842593,273.9166667,108,12.24885444,11.29956825,0.38599708,0.955752212,0.692307692,0.466163543
62,5233.025381,1466.243655,428.4771574,1995.873096,7717.060914,601.680203,944.2385787,1018.939086,5907.989848,1025.314721,349.4517766,561.9492386,1648,277.3654822,1648,277.3654822,197,19.0342172,15.51772916,0.579102994,0.800813008,0.576023392,1.374623876
63,3352.267465,1630.660679,506.489022,2710.093812,4848.836327,687.261477,3516.720559,1159.145709,4137.187625,399.4750499,301.756487,618.9700599,1378.754491,281.6007984,1378.754491,281.6007984,501,28.5865229,23.26809635,0.580930227,0.929499072,0.691034483,-0.050587206
64,5211.812865,1726.22807,498.2046784,2213.871345,7476.269006,679.3976608,878.9883041,1040.625731,6009.064327,2820.380117,319.3274854,562.9415205,1443.339181,273.6549708,1443.339181,273.6549708,171,19.58554927,11.6370558,0.804342883,0.955307263,0.657692308,1.32798138
65,4868.415385,1742.907692,504.8153846,2338.2,6945.261538,721.6307692,2157.8,1093.446154,4519.584615,1677.923077,425.2153846,634.5538462,1681,273.6461538,1681,273.6461538,65,13.59982796,6.382293751,0.883042916,0.890410959,0.5,-1.110998189
66,3997.414634,1562.62439,488.8195122,2498.326829,5803.809756,779.302439,699.902439,1034.019512,4533.053659,377.8,302.2585366,557.5414634,1218.604878,280.4634146,1218.604878,280.4634146,205,20.60825519,12.91321774,0.779337712,0.962441315,0.697278912,-0.476201488
67,5100.411043,1693.263804,502.7055215,2480.527607,7016.969325,689.8711656,2547.93865,1105.411043,4850.159509,387.4662577,271.5153374,617.3312883,1296.368098,277.1595092,1296.368098,277.1595092,163,18.08019837,11.96124046,0.749887141,0.942196532,0.68487395,-0.51380237
68,5819.8,1909.856604,567.5622642,2712.577358,8391.973585,779.0716981,1443.139623,1115.128302,6104.566038,447.6339623,704.0301887,622.6943396,1943.683019,282.4566038,1943.683019,282.4566038,265,20.19819867,17.65440526,0.485820862,0.910652921,0.630952381,-0.230450266
69,6526.27907,1758,548.9767442,2885.906977,8724.023256,948.2325581,1123.186047,1093.27907,4780.72093,398.7209302,279.372093,687.8372093,1243.55814,276.5581395,1243.55814,276.5581395,43,8.563133533,6.343421484,0.671744698,0.977272727,0.895833333,-0.072169029
70,5958.430851,1715.781915,479.537234,2251.106383,8771.569149,680.3138298,770.3510638,1026.164894,6626.569149,2896.31383,298.787234,566.1223404,1434.234043,281.8776596,1434.234043,281.8776596,188,17.82575429,13.88781031,0.626916039,0.944723618,0.650519031,0.833008133
71,6107.642857,1838.607143,535.75,3247.375,8320.357143,950.9821429,2785.482143,1191.464286,5366.714286,398.3928571,289.5535714,582.6428571,1179.410714,282.1607143,1179.410714,282.1607143,56,9.314472943,7.882153824,0.532823341,0.918032787,0.622222222,1.413916772
72,5955.28022,1567.802198,478.0714286,2098.796703,8537.302198,705.467033,881.7142857,1032.675824,6386.653846,418.3956044,414.0274725,567.7362637,1610.67033,284.7142857,1610.67033,284.7142857,182,15.89477674,14.66861181,0.385141896,0.962962963,0.758333333,-0.784315468
73,8037.079646,1485.265487,501.0619469,1766.504425,11629.77876,758.7079646,472.1327434,1023.548673,7649.230088,460.5663717,237.8318584,556.0442478,1332.380531,284.840708,1332.380531,284.840708,113,16.67773653,8.77129235,0.850528955,0.957627119,0.620879121,-0.723846327
74,4284.184615,1147.307692,414.6615385,1463.184615,6091.169231,592,577.8615385,1005.092308,4157.953846,406.0307692,245.4615385,565.9076923,1344.261538,282.6153846,1344.261538,282.6153846,65,9.47196237,8.923039118,0.335479327,0.970149254,0.722222222,-0.750866704
75,5245.989691,2306.268041,580.4536082,3429.505155,7599.907216,910.5154639,661.4020619,1096.206186,5485.020619,469.8453608,243.5051546,708.9690722,1744.608247,284.5257732,1744.608247,284.5257732,97,14.83596842,8.450282431,0.821935361,0.97979798,0.573964497,-0.840378219
76,5215.736,2339.584,538.816,4171.696,7166.952,854.184,1603.872,1204.512,4575.2,385.488,415.792,603.472,1960.712,285.04,1960.712,285.04,125,15.61159334,10.30948347,0.750937255,0.939849624,0.710227273,1.256773966
77,7210.29558,1862.696133,547.5883978,2530.31768,10619.77348,801.3895028,1592.262431,1065.439227,8107.10221,457.7071823,330.7569061,581.160221,1570.638122,287.2679558,1570.638122,287.2679558,362,32.71731279,15.07299641,0.88755385,0.916455696,0.70703125,-1.552032229
78,5019.673966,1814.002433,526.4647202,2901.408759,7652.756691,780.7712895,995.13382,1078.980535,5840.318735,528.5425791,229.486618,872.0729927,1755.043796,292.2457421,1755.043796,292.2457421,411,30.802163,17.19817677,0.829610104,0.940503432,0.638198758,-1.050028558
79,6555.45283,1759.792453,494,2805.150943,9570.150943,650.3584906,1061.981132,1070.226415,7431.566038,405.8113208,260.0754717,577.2641509,1464.264151,288.5283019,1464.264151,288.5283019,53,11.05208476,6.428527711,0.813433822,0.946428571,0.535353535,0.631899875
80,2364.901515,1550.113636,509.6287879,2633.560606,3366.909091,695.6060606,1421.765152,1073.719697,2726.575758,435.8863636,302.25,607.25,1667.583333,291.2878788,1667.583333,291.2878788,132,13.96065699,12.31515156,0.47100102,0.910344828,0.673469388,0.621302497
81,4681.008264,1851.727273,626.3719008,2336.049587,6426.760331,862.2396694,1530.363636,1071.669421,4554.603306,450.0413223,326.768595,717.5289256,1497.049587,292.892562,1497.049587,292.892562,121,16.02478465,9.806749264,0.790877992,0.930769231,0.672222222,-0.454799601
82,5108.506667,1497.223333,519.3266667,2290.06,7581.893333,684.8233333,891.72,1048.41,5630.25,412.9666667,306.24,602.9766667,1807.753333,294.99,1807.753333,294.99,300,21.40370512,17.86317336,0.550881867,0.977198697,0.793650794,-1.531726848
83,2596.405063,1562.088608,535.3670886,2474.822785,3687.544304,742.0886076,2907.405063,1123.734177,3049.886076,416.5696203,316.2531646,644.4556962,1506.481013,292.721519,1506.481013,292.721519,79,11.9920994,8.604159722,0.696573243,0.929411765,0.731481481,-0.300523025
