geneID	ARID5A(MA0602.1)	ATF3(MA0605.1)	ESRRG(MA0643.1)	GLI2(MA0734.3)	NPAS2(MA0626.1)	NR5A2(MA0505.2)	SOX17(MA0078.2)	STAT4(MA0518.1)	TFCP2L1(MA0145.2)	TWIST2(MA0633.2)
1500015O10RIK	0.0001239889	0.00014253469999999998	3.79945e-05	8.527059999999999e-05	0.0002352162	3.06486e-05	0.0027968219	3.379e-07	0.0020237363	1.8412e-06
1700001G17RIK	0.0005631615	0.00029371460000000003	3.0364000000000003e-06	0.0004026514	0.00046908499999999994	0.000319904	1.71316e-05	0.000316496	7.19066e-05	0.00027371890000000003
1700019P21RIK	0.00045805440000000003	0.0003724972	7.8403e-06	3.63943e-05	0.0012125031	2.6395e-06	4.9793e-06	0.005489298599999999	1.4199100000000001e-05	0.031918797900000004
1700020N18RIK	3.99422e-05	0.00019468150000000002	0.00016416150000000002	5.17671e-05	0.006407622900000001	0.0001272914	0.00047278580000000004	3.843e-07	0.001532014	0.0437950508
1700029M03RIK	2.62804e-05	4.5612600000000004e-05	6.714270000000001e-05	1.0259999999999999e-07	1.1499999999999999e-08	7.65454e-05	3.7369999999999996e-07	1.58676e-05	5.61675e-05	1.9296e-06
1700034H15RIK	0.0012098485	0.003162808	0.0216265613	0.0010827776	0.058767384900000004	0.0027723207000000002	0.0002120511	0.0097559239	0.0074803946	0.06876069309999999
1700034P13RIK	0.1260161819	0.0049469956	0.0005991391	4.68172e-05	0.0010596709999999999	0.0002157698	0.0016151459	0.016990521499999998	0.0008056267000000001	0.0934898604
1700037F24RIK	2.6589e-06	8.611e-07	2.6949999999999997e-07	0.0001263971	6.211e-07	2.869e-07	8.0705e-06	9.953059999999999e-05	0.0002750505	9.5268e-06
1700047M11RIK	0.0020775032	0.0001032414	5.2070299999999995e-05	9.143300000000001e-06	0.0019647579	5.5038000000000004e-05	1.60794e-05	2.5623e-06	0.00016286030000000002	0.044697003799999996
1700047N06RIK	0.00035357330000000003	3.319970000000001e-05	4.6074999999999995e-06	2.84101e-05	5.20052e-05	6.2578e-06	1.4479900000000002e-05	0.0008460985	0.0003219864	0.0016581349
1700056E22RIK	0.0015804789	0.000779265	0.0013118406	0.0002605363	0.0011090701999999998	0.00035846459999999995	0.0001190482	0.0113530851	0.133212031	0.031337608899999994
1700065J18RIK	0.0002141664	0.0019683097	6.05564e-05	0.0009026098	0.00048483049999999996	7.50261e-05	0.0003514154	0.0001146727	0.0068893776	0.0355142481
1700066M21RIK	0.00015467809999999998	0.0512187055	0.00035418060000000004	3.3956100000000005e-05	0.0017034533999999999	0.0012394086	0.0012954734	0.0013033831	0.0005304676	0.0659982469
1700067G17RIK	0.0028790281999999997	0.0516930045	0.008639623800000001	5.82348e-05	0.0010161634	0.0009334469	0.0011559131000000002	2.41334e-05	0.0009309481	0.000123764
1700072G22RIK	0.0014515058	0.0008422114	0.0010161203	9.798e-07	0.0007730406	0.0010693469	1.21959e-05	0.0005135475999999999	2.70449e-05	6.3692e-06
1700074A21RIK	0.0018687934	0.0002705496	0.0001791473	9.61396e-05	0.0010394282	9.683530000000001e-05	0.0014563131	8.56243e-05	0.0008821422999999998	0.0298206074
1700122D07RIK	3.536e-07	9.7145e-06	6.22e-08	1.96e-08	1.0189999999999999e-07	1.226e-07	1.2656e-06	2.21e-08	2.7757e-05	0.0015898160999999998
1810006J02RIK	0.0041891914	0.0001050216	2.422e-07	3.7079e-06	8.5997e-06	3.9638e-06	9.4401e-06	7.0859e-06	4.1581899999999996e-05	4.6544e-06
2010103J01RIK	0.00011046899999999996	5.2263900000000006e-05	1.17356e-05	4.39741e-05	0.0010053169000000001	3.8576e-06	3.6717999999999993e-06	0.0001172337	0.0002078327	0.0007594251
2210411M09RIK	0.0036217878999999994	0.0180665198	0.007615529599999999	0.0017674971999999999	0.0034660442999999994	0.028574075	0.0014368427	0.0096249991	0.0036220941	0.0170942745
2310009B15RIK	9.849199999999999e-06	8.0095e-06	1.686e-07	7.826e-07	2.60715e-05	5.68e-08	1.0710000000000001e-07	0.00011803200000000001	3.053e-07	0.0006863244
2310035C23RIK	0.05324865050000002	0.0455619828	0.0001662701	0.0008635738000000001	0.0008282135999999999	0.0167097764	0.0013507367	0.0029215279	0.0018892612	0.1183830695
2610027F03RIK	1.3132e-05	0.0015282096	2.412e-07	9.4836e-06	0.0011729053999999998	2.0904e-06	9.8405e-06	0.0004563173	2.37558e-05	0.0019865968
2700078F05RIK	0.0001413889	1.9326e-06	1.4582e-05	2.2493000000000002e-06	2.9207e-06	1.1326199999999995e-05	3.11286e-05	8.6858e-06	1.229e-07	5e-10
2810025M15RIK	0.0026055025999999998	0.0257709841	6.68482e-05	0.0047677767	0.0013948736999999998	4.520600000000001e-05	0.00016637659999999997	0.007787355899999998	0.0030845296	0.0332765898
2810408I11RIK	0.0128764593	0.052623618999999996	0.0026902862	4.76237e-05	0.005937387099999999	0.001295417	0.0010502548	0.0029162377	0.041698364499999994	0.0005019733000000001
2810414N06RIK	0.014944203	0.0049203808000000005	0.001029828	0.0002757882	0.0045920771	0.0009985456	0.00046798110000000005	0.0015399320999999998	0.0020929953	0.1266427728
2810442N19RIK	4.02999e-05	2.0041e-06	3.091e-07	1.3e-09	2.3854499999999997e-05	1.57e-07	3.0760000000000003e-07	5.015e-07	5.6399999999999995e-08	5e-10
