DDX11L1	ENST00000456328.2	chr1	+	11868	14409	14409	14409	3	11868,12612,13220,	12227,12721,14409,
DDX11L1	ENST00000515242.2	chr1	+	11871	14412	14412	14412	3	11871,12612,13224,	12227,12721,14412,
DDX11L1	ENST00000518655.2	chr1	+	11873	14409	14409	14409	4	11873,12594,13402,13660,	12227,12721,13655,14409,
DDX11L1	ENST00000450305.2	chr1	+	12009	13670	13670	13670	6	12009,12178,12612,12974,13220,13452,	12057,12227,12697,13052,13374,13670,
WASH7P	ENST00000438504.2	chr1	-	14362	29370	29370	29370	12	14362,14969,15795,15903,16606,16853,17232,17601,17914,18267,24737,29320,	14829,15038,15901,15947,16765,17055,17364,17742,18061,18379,24891,29370,
WASH7P	ENST00000541675.1	chr1	-	14362	24886	24886	24886	9	14362,14969,16853,17232,17497,17605,17914,18267,24733,	14829,15038,17055,17364,17504,17742,18061,18369,24886,
WASH7P	ENST00000423562.1	chr1	-	14362	29370	29370	29370	10	14362,14969,15795,16606,16857,17232,17605,17914,24737,29320,	14829,15038,15947,16765,17055,17368,17742,18061,24891,29370,
WASH7P	ENST00000488147.1	chr1	-	14403	29570	29570	29570	11	14403,15004,15795,16606,16857,17232,17605,17914,18267,24737,29533,	14501,15038,15947,16765,17055,17368,17742,18061,18366,24891,29570,
WASH7P	ENST00000538476.1	chr1	-	14410	29806	29806	29806	13	14410,14999,15795,15903,16606,16747,16857,17232,17601,17914,18267,24736,29533,	14502,15038,15901,15947,16745,16765,17055,17364,17742,18061,18366,24891,29806,
MIR1302-11	ENST00000473358.1	chr1	+	29553	31097	31097	31097	3	29553,30563,30975,	30039,30667,31097,
MIR1302-11	ENST00000469289.1	chr1	+	30266	31109	31109	31109	2	30266,30975,	30667,31109,
MIR1302-11	ENST00000607096.1	chr1	+	30365	30503	30503	30503	1	30365,	30503,
FAM138A	ENST00000417324.1	chr1	-	34553	36081	36081	36081	3	34553,35276,35720,	35174,35481,36081,
FAM138A	ENST00000461467.1	chr1	-	35244	36073	36073	36073	2	35244,35720,	35481,36073,
OR4G4P	ENST00000606857.1	chr1	+	52472	53312	53312	53312	1	52472,	53312,
OR4G4P	ENST00000594647.1	chr1	+	53048	54936	54936	54936	2	53048,54829,	53067,54936,
OR4G11P	ENST00000492842.1	chr1	+	62947	63887	63887	63887	1	62947,	63887,
