Channel State,Experiment Time (minutes),State Time (samples)
adapter,0,0
adapter,1,1339861
adapter,2,1212644
adapter,3,782538
adapter,4,671868
adapter,5,671687
adapter,6,692842
adapter,7,643457
adapter,8,617385
adapter,9,618074
adapter,10,654905
adapter,11,611290
adapter,12,596976
adapter,13,615683
adapter,14,619677
adapter,15,632524
adapter,16,620175
adapter,17,652994
adapter,18,592746
adapter,19,583732
adapter,20,600120
adapter,21,627274
adapter,22,620839
adapter,23,620006
adapter,24,636393
adapter,25,654454
adapter,26,583405
adapter,27,621782
adapter,28,614292
adapter,29,615593
adapter,30,567618
adapter,31,570833
adapter,32,573218
adapter,33,581476
adapter,34,589681
adapter,35,589935
adapter,36,610941
adapter,37,583644
adapter,38,585906
adapter,39,569779
adapter,40,554155
adapter,41,613146
adapter,42,609972
adapter,43,596137
adapter,44,593646
adapter,45,600752
adapter,46,588303
adapter,47,561267
adapter,48,600578
adapter,49,584185
adapter,50,553688
adapter,51,626731
adapter,52,580663
adapter,53,621762
adapter,54,575341
adapter,55,557416
adapter,56,606321
adapter,57,674210
adapter,58,562726
adapter,59,583719
adapter,60,578462
adapter,61,604862
adapter,62,554484
adapter,63,554536
adapter,64,582572
adapter,65,514581
adapter,66,566120
adapter,67,550651
adapter,68,619670
adapter,69,632211
adapter,70,594192
adapter,71,561540
adapter,72,594144
adapter,73,590819
adapter,74,617464
adapter,75,590616
adapter,76,596560
adapter,77,596699
adapter,78,552523
adapter,79,516422
adapter,80,542861
adapter,81,572596
adapter,82,610579
adapter,83,518655
adapter,84,562228
adapter,85,562246
adapter,86,600829
adapter,87,572731
adapter,88,577075
adapter,89,603379
adapter,90,577345
adapter,91,568323
adapter,92,602250
adapter,93,442667
adapter,94,126025
adapter,95,0
adapter,96,1062011
adapter,97,1142593
adapter,98,653843
adapter,99,664961
adapter,100,764343
adapter,101,653719
adapter,102,690670
adapter,103,560759
adapter,104,562395
adapter,105,582117
adapter,106,536689
adapter,107,551062
adapter,108,547261
adapter,109,564364
adapter,110,541803
adapter,111,535152
adapter,112,531069
adapter,113,542591
adapter,114,604894
