source name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[disease]	Characteristics[protein_coding_gene]	Characteristics[concentration of]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]	factor value[protein_coding_gene]	factor value[concentration of]
Sample 1	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	12500 amol	1	lysate	run 1	profiling by mass spectrometry	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_12500amol_R1.raw	UPS1_12500amol_R1.raw	UPS1	12500 amol
Sample 1	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	12500 amol	1	lysate	run 2	profiling by mass spectrometry	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_12500amol_R2.raw	UPS1_12500amol_R2.raw	UPS1	12500 amol
Sample 1	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	12500 amol	1	lysate	run 3	profiling by mass spectrometry	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_12500amol_R3.raw	UPS1_12500amol_R3.raw	UPS1	12500 amol
Sample 2	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	125 amol	1	lysate	run 4	profiling by mass spectrometry	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_125amol_R1.raw	UPS1_125amol_R1.raw	UPS1	125 amol
Sample 2	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	125 amol	1	lysate	run 5	profiling by mass spectrometry	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_125amol_R2.raw	UPS1_125amol_R2.raw	UPS1	125 amol
Sample 2	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	125 amol	1	lysate	run 6	profiling by mass spectrometry	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_125amol_R3.raw	UPS1_125amol_R3.raw	UPS1	125 amol
Sample 3	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	25000 amol	1	lysate	run 7	profiling by mass spectrometry	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_25000amol_R1.raw	UPS1_25000amol_R1.raw	UPS1	25000 amol
Sample 3	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	25000 amol	1	lysate	run 8	profiling by mass spectrometry	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_25000amol_R2.raw	UPS1_25000amol_R2.raw	UPS1	25000 amol
Sample 3	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	25000 amol	1	lysate	run 9	profiling by mass spectrometry	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_25000amol_R3.raw	UPS1_25000amol_R3.raw	UPS1	25000 amol
Sample 4	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	2500 amol	1	lysate	run 10	profiling by mass spectrometry	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_2500amol_R1.raw	UPS1_2500amol_R1.raw	UPS1	2500 amol
